Term,Term Two,Definition,Closest MeSH term,Synonym 1,Synonym 2,Synonym 3,Abbreviation,UK Spelling,US Spelling,Noun Form of Word,Verb Form of Word,Adjective Form of Word,Adverb Form of Word,Commonly Associated Term 1,Commonly Associated Term 2,Commonly Associated Term 3,Commonly Associated Term 4,Commonly Associated Term 5,Commonly Associated Term 6,Commonly Associated Term 7,Commonly Associated Term 8
Dendrite,,A branched projection of a neuron that receives synaptic input from other neurons and transmits electrical signals toward the cell body.,Dendrites,,,,,,,dendrite,,dendritic,dendritically,neuron,synapse,cell body,axon,neural transmission,Dendritic spine,Postsynaptic potential,Synaptic plasticity
Dendritic spine,,"A small, membranous protrusion from a neuron's dendrite that typically receives input from a single synapse of an axon. Spines are key sites for synaptic strength and plasticity.",Dendritic Spines,spine,,,,,,spine,,spinous,,dendrite,synapse,synaptic plasticity,postsynaptic density,long-term potentiation,Actin cytoskeleton,Long-term depression,NMDA receptor
Depolarization,,"A change in membrane potential that makes the interior of a neuron more positive relative to the outside, often initiating an action potential if a threshold is reached.",Membrane Potentials,,,,,,,depolarization,depolarize,,,action potential,membrane potential,threshold,hyperpolarization,ion channels,Excitatory Postsynaptic Potential (EPSP),Repolarization,Voltage-gated sodium channels
Descending neuron,,"A neuron that originates in the brain or brainstem and projects downward through the spinal cord to influence motor circuits and autonomic function. Descending neurons are critical for voluntary movement, postural control, and reflex modulation. Major descending pathways include the corticospinal, reticulospinal, rubrospinal, and vestibulospinal tracts.",Motor Neurons,,,,,,,,,,,spinal cord,motor control,corticospinal tract,brainstem,voluntary movement,Lower motor neuron,Reticulospinal tract,Postural control
Developmental neuroscience,,"A branch of neuroscience focused on how the nervous system develops from embryonic stages through adulthood, including neurogenesis, synaptogenesis, and pruning.",,,,,,,,,,developmental,developmentally,neurogenesis,synaptogenesis,neural development,synaptic pruning,embryonic development,Neuronal migration,Axon guidance,Apoptosis
Diffusion tensor imaging,,A form of magnetic resonance imaging that maps the diffusion of water molecules in brain tissue to visualize white matter tracts and structural connectivity.,Diffusion Tensor Imaging,,,,DTI,,,,,,,white matter,MRI,tractography,brain connectivity,diffusion MRI,Fractional Anisotropy,Myelin,Connectome
Diencephalon,,"A region of the forebrain that includes structures such as the thalamus and hypothalamus. It plays a role in sensory relay, autonomic function, and endocrine regulation.",Diencephalon,,,,,,,,,diencephalic,,thalamus,hypothalamus,forebrain,sensory relay,endocrine regulation,Pituitary gland,Third ventricle,Limbic system
Diffuse axonal injury,,"A form of traumatic brain injury where widespread lesions in white matter tracts occur due to rapid acceleration or deceleration, commonly associated with concussions and coma.",Diffuse Axonal Injury,,,,DAI,,,,,,,traumatic brain injury,white matter,concussion,coma,axonal damage,Shear injury,Wallerian degeneration,Chronic Traumatic Encephalopathy
Dissociation (neuropsychology),,"A situation where one cognitive function is impaired while another is preserved, often used to infer the independence of brain processes or structures.",Brain Mapping,cognitive dissociation,,,,,,dissociation,dissociate,,,cognitive function,neuropsychology,brain lesion,functional independence,double dissociation,Single dissociation,Agnosia,Modularity of Mind
Dizygotic twins,,Also known as fraternal twins; twins that result from two separate eggs fertilized by two different sperm. Used in genetic studies to explore heritability in neurological traits.,"Twins, Dizygotic",fraternal twins,non-identical twins,,DZ,,,,,dizygotic,,twin studies,heritability,genetics,behavioral genetics,monozygotic twins,Concordance rate,Gene-environment interaction,Shared environment
Dopamine,,"A neurotransmitter involved in reward, motivation, motor control, and mood regulation. Imbalances are associated with disorders such as Parkinson's disease, schizophrenia, and addiction.",Dopamine,,,,DA,,,,,dopaminergic,,neurotransmitter,reward system,Parkinson's disease,basal ganglia,substantia nigra,Schizophrenia,Addiction,Ventral Tegmental Area
Dorsal column–medial lemniscus pathway,Dorsal column-medial lemniscus pathway,"A sensory pathway of the spinal cord that conveys fine touch, vibration, and proprioceptive information to the brain.",Neural Pathways,DCML pathway,dorsal column pathway,,DCML,,,,,,,proprioception,fine touch,vibration sense,sensory pathway,spinal cord,Stereognosis,Medial lemniscus,Fasciculus cuneatus
Dorsal horn,,A region in the gray matter of the spinal cord that receives and processes incoming sensory information from peripheral nerves.,Spinal Cord Dorsal Horn,posterior horn,,,,,,,,,,spinal cord,gray matter,sensory processing,nociception,dorsal root ganglion,Rexed laminae,spinothalamic tract,Substance P
Dorsal root ganglion,,"A cluster of sensory neuron cell bodies located just outside the spinal cord, which transmit sensory signals to the central nervous system.","Ganglia, Spinal",spinal ganglion,,,DRG,,,ganglion,,,,sensory neuron,spinal cord,peripheral nerve,dorsal horn,afferent pathway,Pseudounipolar neuron,Nociception,First-order neuron
Dorsal stream,,"One of the two major visual processing pathways in the brain. Often referred to as the ""where"" pathway, it processes motion and spatial information.",Visual Pathways,where pathway,parietal stream,,,,,,,,,visual processing,spatial vision,parietal cortex,ventral stream,motion perception,Akinetopsia,Optic ataxia,Simultanagnosia
Downregulation,,"A decrease in the number or sensitivity of receptors in response to prolonged stimulation by a neurotransmitter or drug, reducing cellular response.",Down-Regulation,,,,,downregulation,downregulation,downregulation,downregulate,,,receptor,desensitization,upregulation,neurotransmitter,synaptic plasticity,Internalization,Tolerance,Agonist
Dualism,,"A philosophical position asserting that the mind and body are fundamentally distinct entities. In neuroscience, it contrasts with monistic and physicalist views of consciousness.",Mind-Body Relations,mind-body dualism,Cartesian dualism,,,,,,,,,consciousness,philosophy of mind,mind-body problem,materialism,monism,Physicalism,Neural Correlates of Consciousness,Qualia
Dynein,,"A motor protein that moves along microtubules in the cytoskeleton, transporting cellular cargo toward the center of the cell. In neurons, dynein is important for retrograde axonal transport.",Dyneins,,,,,,,,,,,motor protein,microtubule,axonal transport,retrograde transport,cytoskeleton,Kinesin,Dynactin,Axoneme
Dysarthria,,"A motor speech disorder resulting from impaired control of the muscles used in speech, often due to neurological damage to the brainstem or cerebellum.",Dysarthria,,,,,,,,,dysarthric,,speech disorder,motor control,brainstem,cerebellum,articulation,Ataxia,Basal Ganglia,Prosody
Dyskinesia,,"Involuntary, erratic, or repetitive movements, often associated with long-term use of dopaminergic drugs in Parkinson's disease.",Dyskinesias,,,,,,,dyskinesia,,dyskinetic,,movement disorder,Parkinson's disease,dopamine,involuntary movement,tardive dyskinesia,Basal ganglia,Levodopa,extrapyramidal system
Dyslexia,,"A neurodevelopmental disorder characterized by difficulty with accurate and/or fluent word recognition, often linked to deficits in phonological processing and left hemisphere brain function.",Dyslexia,reading disorder,,,,,,,,dyslexic,,reading disability,phonological processing,learning disorder,language processing,neurodevelopmental disorder,Arcuate fasciculus,Visual Word Form Area,Rapid automatized naming (RAN)
Dyspraxia,,"A developmental coordination disorder involving difficulty with motor planning and execution, affecting balance, fine motor tasks, and speech.",Apraxias,developmental coordination disorder,,,DCD,,,,,dyspraxic,,motor planning,motor coordination,apraxia,developmental disorder,motor skills,Cerebellum,Proprioception,Fine motor skills
Dendrites,,Dendrites are the part of the neuron that receive signals from other nerve cells.,Dendrites,,,,,,,,,,Dendritic,,Neurons,Synapses,Dendritic spines,Axons,Neurotransmission,Signal integration,Postsynaptic terminals,Soma
Dysautonomia,,"Dysautonomia happens when there is a problem in the autonomic nervous system, which controls involuntary functions like breathing, heartbeat, and blood pressure which normally happen without thinking.",Dysautonomia,Autonomic dysfunction,Autonomic neuropathy,,,,,Dysautonomia,,Dysautonomic,,Autonomic nervous system,Orthostatic hypotension,Postural tachycardia syndrome,Heart rate variability,Sympathetic nervous system,Parasympathetic nervous system,Baroreceptor reflex,Homeostasis
Dysgraphia,,Dysgraphia is a term used to describe a variety of challenges and disabilities related to writing.,Dysgraphia,Writing disorder,Impaired writing,,,,,Dysgraphia,,Dysgraphic,,Learning disability,Fine motor skills,Handwriting,Graphomotor function,Executive function,Spatial processing,Dyslexia,Language processing
Dysphagia,,Dysphagia is the medical term for difficulty swallowing.,Dysphagia,Swallowing disorder,Swallowing difficulty,Impaired swallowing,,,,Dysphagia,Swallow,Dysphagic,,Aspiration,Oropharyngeal dysphagia,Esophageal dysphagia,Cranial nerves,Brainstem,Deglutition,Stroke,Neuromuscular disorders
Dystonia,,Dystonia is a medical term for involuntary muscle contractions or flexing. It can cause slow repetitive movements or abnormal postures that can be painful.,Dystonia,Torsion dystonia,,,,,Dystonia,,Dystonic,Dystonically,Basal ganglia,Involuntary movements,Muscle contractions,Focal dystonia,Generalized dystonia,Cervical dystonia,Neurotransmitters,Motor control
