Term,Term Two,Definition,Closest MeSH term,Synonym 1,Synonym 2,Synonym 3,Abbreviation,UK Spelling,US Spelling,Noun Form of Word,Verb Form of Word,Adjective Form of Word,Adverb Form of Word,Commonly Associated Term 1,Commonly Associated Term 2,Commonly Associated Term 3,Commonly Associated Term 4,Commonly Associated Term 5,Commonly Associated Term 6,Commonly Associated Term 7,Commonly Associated Term 8
EEG,,"A non-invasive method of recording electrical activity in the brain using electrodes placed on the scalp. It is commonly used to study sleep, epilepsy, and cognitive processes.",Electroencephalography,electroencephalography,,,EEG,,,,,,,brain activity,epilepsy,sleep,electrode,neurophysiology,Event-Related Potential (ERP),Neural Oscillations,Brain-Computer Interface (BCI)
Effector,,"A muscle, gland, or organ that performs an action in response to a neural signal, typically from the motor neuron.",,,,,,,,effector,,,,motor neuron,muscle,gland,motor response,efferent pathway,Neuromuscular Junction,Neurotransmitter,Innervation
Efferent nerve fiber,,An axon that carries motor signals away from the central nervous system to muscles or glands. Opposite of afferent nerve fiber.,Efferent Pathways,efferent fiber,motor fiber,,,,,,,efferent,,motor neuron,central nervous system,afferent nerve fiber,axon,motor pathway,Peripheral nervous system,Neuromuscular junction,Effector organ
Electroconvulsive therapy,,"A psychiatric treatment in which seizures are electrically induced in anesthetized patients for therapeutic effect, often used for treatment-resistant depression.",Electroconvulsive Therapy,,,,ECT,,,,,,,depression,seizure,psychiatric treatment,electroshock,anesthesia,Catatonia,Neuroplasticity,Amnesia
Electrode,,"A conductor used to detect or deliver electrical signals in neural recording or stimulation. Electrodes can be surface (non-invasive), intracranial, or implanted.",Electrodes,,,,,,,electrode,,,,neural recording,electrical stimulation,electrophysiology,brain-computer interface,neural interface,Microelectrode array (MEA),Deep Brain Stimulation (DBS),Local Field Potential (LFP)
Electromyography,,"A technique for recording the electrical activity produced by skeletal muscles, often used in neuromuscular diagnostics and motor control studies.",Electromyography,,,,EMG,,,,,,,muscle activity,motor control,neuromuscular,skeletal muscle,electrophysiology,Motor Unit Potential,Nerve Conduction Study,Motor Neuron
Electrophysiology,,"The study of the electrical properties of biological cells and tissues. In neuroscience, it often involves measuring voltage changes or currents in neurons.",Electrophysiology,,,,,,,,,electrophysiological,electrophysiologically,neuron,action potential,membrane potential,ion channel,patch clamp,Electroencephalography (EEG),Local Field Potential (LFP),Synaptic Potential
Endocannabinoid system,,"A neuromodulatory system composed of endocannabinoids, receptors (e.g., CB1), and enzymes. It regulates processes such as appetite, pain, mood, and memory.",Endocannabinoids,,,,ECS,,,,,,,CB1 receptor,neuromodulation,cannabinoid,anandamide,2-AG,Retrograde signaling,CB2 receptor,FAAH (Fatty acid amide hydrolase)
Endocrine system,,"A collection of glands that secrete hormones directly into the bloodstream. It interacts with the nervous system to regulate metabolism, stress, and growth.",Endocrine System,,,,,,,,,endocrine,,hormone,gland,nervous system,hypothalamus,pituitary gland,Neuroendocrine system,Homeostasis,HPA axis
Endogenous,,"Originating from within an organism, tissue, or cell. In neuroscience, it typically refers to naturally occurring neurotransmitters or signaling molecules.",,,,,,,,,,endogenous,endogenously,neurotransmitter,exogenous,endogenous opioid,signaling molecule,internal,Agonist,Neuromodulator,Receptor
Endorphins,,Endogenous opioid peptides that bind to opioid receptors and act as natural painkillers and mood enhancers.,Endorphins,,,,,,,endorphin,,,,opioid receptor,pain relief,endogenous opioid,beta-endorphin,analgesia,Enkephalin,Periaqueductal gray (PAG),Neuromodulator
Engram,,A theoretical physical trace or biological substrate of memory in the brain. The term is used in memory research to describe the neural changes underlying a specific memory.,Memory,memory trace,,,,,,engram,,,,memory,memory consolidation,synaptic plasticity,neuroplasticity,memory storage,Long-Term Potentiation,Cell Assembly,Memory Reconsolidation
Enteric nervous system,,"A subdivision of the autonomic nervous system that governs the function of the gastrointestinal system. Sometimes called the ""second brain.""",Enteric Nervous System,second brain,,,ENS,,,,,enteric,,autonomic nervous system,gastrointestinal,gut-brain axis,digestive system,intrinsic nervous system,Myenteric plexus,Submucosal plexus,Peristalsis
Epinephrine,,A hormone and neurotransmitter (also known as adrenaline) involved in the body's fight-or-flight response. Produced in the adrenal medulla.,Epinephrine,adrenaline,,,,,,,,,,neurotransmitter,fight-or-flight,adrenal medulla,stress response,sympathetic nervous system,Adrenergic receptor,Catecholamine,Norepinephrine
EPSP,,"A depolarizing event in a postsynaptic neuron caused by the influx of positive ions, making the neuron more likely to fire an action potential.",Excitatory Postsynaptic Potentials,excitatory postsynaptic potential,,,EPSP,,,,,,,depolarization,action potential,synapse,postsynaptic neuron,IPSP,Glutamate,Summation,NMDA receptor
Equilibrium potential,,The membrane potential at which there is no net flow of a particular ion across the cell membrane. It can be calculated using the Nernst equation.,,reversal potential,,,,,,,,,,membrane potential,Nernst equation,ion,electrochemical gradient,resting potential,Goldman-Hodgkin-Katz Equation,Ion selectivity,Driving Force
Estrogen,,"A steroid hormone that, in addition to reproductive functions, affects brain structure, cognition, and neuroprotection, particularly in areas such as the hippocampus.",Estrogens,,,,,oestrogen,estrogen,,,estrogenic,,hormone,hippocampus,neuroprotection,steroid hormone,cognition,Neuroplasticity,Estrogen receptor,Neuromodulator
Evoked potential,,"A measured electrical response of the nervous system to a specific sensory, motor, or cognitive stimulus, commonly recorded with EEG.",Evoked Potentials,,,,EP,,,,,,,EEG,stimulus,sensory response,neural response,electrophysiology,Event-Related Potential (ERP),Signal Averaging,Latency
Excitability,,The ability of a neuron or muscle cell to respond to a stimulus and generate an action potential.,,,,,,,,excitability,,excitable,,neuron,action potential,threshold,stimulus,membrane potential,Depolarization,Refractory Period,Ion Channel
Excitotoxicity,,"Cell death caused by excessive stimulation by neurotransmitters such as glutamate, leading to calcium overload and neuronal damage. It is implicated in stroke and neurodegenerative diseases.",,,,,,,,,,excitotoxic,,glutamate,neuronal death,calcium overload,stroke,neurodegeneration,Ischemia,NMDA receptor,Apoptosis
Executive function,,"A set of cognitive processes including working memory, flexible thinking, and self-control. Primarily associated with the prefrontal cortex.",Executive Function,,,,,,,,,,,prefrontal cortex,working memory,cognitive control,self-control,cognitive flexibility,Set-shifting,Planning,Dysexecutive Syndrome
Exocytosis,,"The process by which vesicles release their contents outside the cell. In neurons, it refers to the release of neurotransmitters into the synaptic cleft.",Exocytosis,,,,,,,exocytosis,,exocytic,,neurotransmitter release,synaptic vesicle,synaptic cleft,endocytosis,vesicle fusion,SNARE complex,Presynaptic terminal,Voltage-gated calcium channel
Extracellular matrix,,"A network of proteins and molecules outside cells that provides structural and biochemical support to surrounding cells. In the nervous system, it plays roles in synaptic plasticity and neural development.",Extracellular Matrix,,,,ECM,,,,,,,neural development,synaptic plasticity,cell adhesion,extracellular space,structural support,Perineuronal nets,Integrins,Glial scar
Encephalitis,,Encephalitis is inflammation of the brain.,Encephalitis,,,,,,,,,,,,,,,,,,
Encephalopathy,,"Encephalopathy is a broad term that refers to any disease or disorder that alters the brain's function or structure. The hallmark of encephalopathy is an altered mental state, which can range from confusion and memory loss to personality changes and coma.",Encephalopathy,,,,,,,,,,,,,,,,,,
Enzymes,,Enzymes are proteins that help speed up chemical reactions in the body (called metabolism).,Enzymes,,,,,,,,,,,,,,,,,,
