Term,Term Two,Definition,Closest MeSH term,Synonym 1,Synonym 2,Synonym 3,Abbreviation,UK Spelling,US Spelling,Noun Form of Word,Verb Form of Word,Adjective Form of Word,Adverb Form of Word,Commonly Associated Term 1,Commonly Associated Term 2,Commonly Associated Term 3,Commonly Associated Term 4,Commonly Associated Term 5,Commonly Associated Term 6,Commonly Associated Term 7,Commonly Associated Term 8
GABA,,"The primary inhibitory neurotransmitter in the central nervous system. It reduces neuronal excitability and is involved in sleep, anxiety, and motor control.",gamma-Aminobutyric Acid,gamma-aminobutyric acid,,,GABA,,,,,,,inhibitory neurotransmitter,central nervous system,neuronal excitability,anxiety,sleep,motor control,GABAergic,GABA receptor
Gag reflex,,"A protective reflex that prevents choking, triggered by stimulation of the back of the throat. It involves cranial nerves IX and X and is used to assess brainstem function.",Reflex,pharyngeal reflex,,,,,,,,,,cranial nerve,brainstem,protective reflex,glossopharyngeal nerve,vagus nerve,choking,pharynx,
Ganglion,,A cluster of neuronal cell bodies located outside the central nervous system. Examples include the dorsal root ganglia and autonomic ganglia.,Ganglia,,,,,,,,,,,neuron,cell body,peripheral nervous system,dorsal root ganglion,autonomic ganglion,sensory neuron,sympathetic ganglion,
Gap junction,,A direct electrical connection between adjacent neurons or glial cells formed by connexin proteins. Gap junctions allow ions and small molecules to pass rapidly between cells.,Gap Junctions,electrical synapse,,,,,,,,,,connexin,electrical coupling,intercellular communication,glia,neuron,ion channel,electrical synapse,cell-cell communication
Gene knockout,,"A genetic technique used to inactivate or ""knock out"" a specific gene in an organism to study its function. Widely used in neuroscience to explore gene roles in brain development and behavior.",Gene Knockout Techniques,gene deletion,,,,,,,,,,genetic engineering,gene function,mouse model,CRISPR,behavioral genetics,neurodevelopment,molecular biology,
Genetic predisposition,,"An increased likelihood of developing a particular disease based on an individual's genetic makeup. In neuroscience, it is relevant to conditions like schizophrenia and Alzheimer's disease.",Genetic Predisposition to Disease,genetic susceptibility,hereditary risk,,,,,,,,,genetics,heritability,risk factor,schizophrenia,Alzheimer's disease,genetic variation,family history,
Geniculate body,,A relay structure in the thalamus. The lateral geniculate body is involved in visual processing; the medial geniculate body is involved in auditory processing.,Geniculate Bodies,geniculate nucleus,,,,,,,,,,thalamus,visual processing,auditory processing,lateral geniculate nucleus,medial geniculate nucleus,sensory relay,LGN,MGN
Gephyrin,,A scaffolding protein that anchors inhibitory neurotransmitter receptors (GABA and glycine) at postsynaptic sites. Essential for synapse formation and stability.,Membrane Proteins,gephyrin protein,,,,,,,,,,scaffolding protein,synapse,GABA receptor,glycine receptor,postsynaptic density,inhibitory synapse,synaptic anchoring,
Glia,,"Non-neuronal cells in the nervous system that support, nourish, and protect neurons. Types include astrocytes, oligodendrocytes, microglia, and Schwann cells.",Neuroglia,glial cells,,,,,,,,glial,,astrocyte,oligodendrocyte,microglia,Schwann cell,support cells,nervous system,neuron support,myelin
Glia limitans,,A thin layer of astrocytic endfeet beneath the pia mater that forms part of the barrier separating the brain parenchyma from the cerebrospinal fluid.,Neuroglia,,,,,,,,,,,astrocyte,blood-brain barrier,pia mater,cerebrospinal fluid,brain barrier,glial endfoot,CNS border,
Glial scar,,"A dense accumulation of glial cells, particularly astrocytes, that forms after central nervous system injury. It helps contain damage but can also inhibit axonal regeneration.",Gliosis,reactive gliosis,,,,,,,,,,astrocyte,CNS injury,axonal regeneration,neuroinflammation,brain injury,scar tissue,reactive astrocyte,glial activation
Glioblastoma,,A highly aggressive and malignant brain tumor arising from glial cells. It is the most common primary brain cancer in adults and often has a poor prognosis.,Glioblastoma,glioblastoma multiforme,GBM,,GBM,,,,,,,brain tumor,brain cancer,glia,malignant tumor,astrocytoma,neoplasm,oncology,WHO grade IV
Glucocorticoid,,A class of steroid hormones released by the adrenal cortex in response to stress. They influence metabolism and have significant effects on memory and the hippocampus.,Glucocorticoids,,,,,,,,,,,steroid hormone,stress,cortisol,adrenal cortex,hippocampus,memory,HPA axis,stress response
Glutamate,,"The main excitatory neurotransmitter in the brain. It is essential for learning, memory, and synaptic plasticity, but excessive levels can cause excitotoxicity.",Glutamic Acid,,,,,,,,,,,excitatory neurotransmitter,neurotransmitter,synaptic plasticity,learning,memory,excitotoxicity,NMDA receptor,glutamatergic
Glutamatergic,,Describes neurons or synapses that use glutamate as a neurotransmitter. These are the majority of excitatory synapses in the brain.,Glutamic Acid,,,,,,,,,,,glutamate,excitatory synapse,neurotransmitter,excitatory neuron,synaptic transmission,neuronal signaling,,
