Term,Term Two,Definition,Closest MeSH term,Synonym 1,Synonym 2,Synonym 3,Abbreviation,UK Spelling,US Spelling,Noun Form of Word,Verb Form of Word,Adjective Form of Word,Adverb Form of Word,Commonly Associated Term 1,Commonly Associated Term 2,Commonly Associated Term 3,Commonly Associated Term 4,Commonly Associated Term 5,Commonly Associated Term 6,Commonly Associated Term 7,Commonly Associated Term 8
Iatrogenic,,"A condition unintentionally caused by medical treatment or diagnostic procedures. In neuroscience, may refer to nerve damage, seizures, or cognitive effects resulting from interventions.",Iatrogenic Disease,,,,,,,,,iatrogenic,iatrogenically,medical treatment,adverse effect,complication,intervention,diagnostic procedure,,,
Ictal,,"Relating to or occurring during a seizure or convulsion. Commonly used in the context of epilepsy, such as ""ictal phase"" versus ""postictal phase.""",,,,,,,,,,ictal,,seizure,epilepsy,convulsion,postictal,interictal,EEG,,
Imaging genetics,,A research field that combines brain imaging and genetics to investigate how genetic variation affects brain structure and function.,,,,,,,,,,,,brain imaging,genetics,genetic variation,fMRI,structural MRI,genomics,,
Immunohistochemistry,,A technique that uses antibodies to detect specific proteins or antigens in tissue sections. Frequently used to visualize neuronal and glial markers.,Immunohistochemistry,,,,IHC,,,,,,,antibody,protein,tissue,staining,neuronal marker,glial marker,,
Implicit memory,,"Unconscious memory of skills and procedures, such as riding a bike or playing an instrument. Associated with brain structures like the basal ganglia and cerebellum.",Memory,procedural memory,non-declarative memory,,,,,memory,,,,basal ganglia,cerebellum,skill learning,procedural learning,motor learning,habit,,
Incus,,One of the three auditory ossicles in the middle ear that transmits sound vibrations from the malleus to the stapes.,Incus,anvil,,,,,,,,,,auditory ossicle,middle ear,malleus,stapes,hearing,sound transmission,,
Independent component analysis,,A computational method used to separate mixed signals into independent sources. Commonly used in EEG and fMRI to identify distinct brain activity patterns.,,,,,ICA,,,,,,,EEG,fMRI,signal processing,computational method,brain activity,data analysis,,
Inferior colliculus,,"A midbrain structure involved in auditory processing, particularly sound localization and reflexive responses to sound stimuli.",Inferior Colliculi,,,,IC,,,,,,,midbrain,auditory processing,sound localization,auditory pathway,brainstem,auditory reflex,,
Inferior olive,,A brainstem nucleus that sends climbing fiber inputs to the cerebellum and plays a critical role in motor learning and coordination.,Olivary Nucleus,olivary nucleus,,,,,,,,,,cerebellum,climbing fiber,motor learning,brainstem,motor coordination,olivocerebellar,,
Inhibitory postsynaptic potential,,"A type of synaptic potential that makes a neuron less likely to fire an action potential, usually by allowing chloride or potassium ions to enter the cell.",Inhibitory Postsynaptic Potentials,,,,IPSP,,,potential,,,,synapse,inhibition,action potential,chloride,potassium,hyperpolarization,EPSP,
Innervation,,"The supply of nerves to a specific body part. In neuroscience, it describes how neurons connect to and control muscles, glands, or other neurons.",Nervous System,,,,,,,innervation,innervate,,,nerve,muscle,motor control,sensory input,neural connection,peripheral nerve,,
Input resistance,,A measure of how much a neuron's membrane resists incoming current. It influences how strongly the cell responds to synaptic inputs.,,membrane resistance,,,,,,resistance,,,,membrane,current,neuron,synaptic input,electrophysiology,passive properties,,
Insular cortex,,"A region buried within the lateral sulcus, involved in interoception, emotion, taste, and awareness of bodily states.",Cerebral Cortex,insula,,,,,,cortex,,insular,,interoception,emotion,taste,lateral sulcus,bodily awareness,gustatory cortex,pain,
Intelligence quotient,,"A standardized measure of cognitive ability. In neuroscience, research explores how brain structure and function relate to individual differences in IQ.",Intelligence,,,,IQ,,,,,,,cognitive ability,psychometrics,intelligence,brain structure,neuroimaging,cognition,,
Interneuron,,"A neuron that connects other neurons within a neural circuit, typically within the same brain region or spinal segment. Often inhibitory and essential for reflexes and signal modulation.",Interneurons,,,,,,,interneuron,,,,neural circuit,inhibition,reflex,GABAergic,local circuit,spinal cord,cortex,
Intracranial pressure,,"The pressure inside the skull, exerted by brain tissue, blood, and cerebrospinal fluid. Abnormal levels can cause headaches, vision problems, or brain damage.",Intracranial Pressure,,,,ICP,,,pressure,,intracranial,,skull,cerebrospinal fluid,brain,blood,hydrocephalus,brain injury,,
Intracellular recording,,"A technique used to measure the voltage or current inside a neuron, providing detailed information about membrane potential and ionic currents.",,whole-cell recording,sharp electrode recording,,,,,recording,record,,,electrophysiology,membrane potential,neuron,voltage,current,patch clamp,,
Ion channel,,A pore-forming membrane protein that allows ions to pass in and out of neurons. Ion channels are critical for generating and propagating electrical signals.,Ion Channels,,,,,,,channel,,,,membrane protein,ion,action potential,neuron,voltage-gated,ligand-gated,permeability,
Ionotropic receptor,,"A type of receptor that directly opens an ion channel upon neurotransmitter binding, allowing rapid synaptic transmission (e.g., NMDA receptor, AMPA receptor).","Receptors, Ionotropic Glutamate",ligand-gated ion channel,,,,,,receptor,,ionotropic,,ion channel,neurotransmitter,synaptic transmission,NMDA,AMPA,GABA-A,glutamate receptor,
Immunoglobulins,,Immunoglobulins are natural antibodies produced by the immune system.,Immunoglobulins,,,,,,,,,,,,,,,,,,
Inflammation,,"Inflammation is a condition in which tissues, organs, or other parts of the body become swollen, hot, or painful. Inflammation can be a reaction to an infection or injury. Inflammation in the brain or spinal cord can cause other problems.",Inflammation,,,,,,,,,,,,,,,,,,
Intravenous immunoglobulin,,Intravenous immunoglobulin (IVIg) is a common treatment for peripheral neuropathy caused by autoantibodies.,"Immunoglobulins, Intravenous",,,IVIg,,,,,,,,,,,,,,,
