Term,Term Two,Definition,Closest MeSH term,Synonym 1,Synonym 2,Synonym 3,Abbreviation,UK Spelling,US Spelling,Noun Form of Word,Verb Form of Word,Adjective Form of Word,Adverb Form of Word,Commonly Associated Term 1,Commonly Associated Term 2,Commonly Associated Term 3,Commonly Associated Term 4,Commonly Associated Term 5,Commonly Associated Term 6,Commonly Associated Term 7,Commonly Associated Term 8
N-acetylaspartate,Nacetylaspartate,"A molecule found predominantly in neurons, often measured via magnetic resonance spectroscopy as a marker of neuronal health and density.",Aspartic Acid,,,,NAA,,,,,,,neuron,magnetic resonance spectroscopy,neuronal health,neuronal density,brain metabolism,neurotransmitter precursor,,
Narcolepsy,,"A neurological disorder characterized by excessive daytime sleepiness, sudden sleep attacks, and sometimes cataplexy. It involves dysfunction in the brain's regulation of sleep-wake cycles.",Narcolepsy,sleep disorder,,,,,,narcolepsy,,narcoleptic,,sleep,cataplexy,hypocretin,orexin,excessive daytime sleepiness,REM sleep,sleep-wake cycle,hypothalamus
Nasal cavity,,"The air passageway behind the nose that houses the olfactory epithelium, which contains sensory neurons responsible for detecting odors.",Nasal Cavity,,,,,,,,,nasal,,olfaction,olfactory epithelium,sensory neurons,odor detection,respiratory system,nose,,
Neocortex,,"The largest part of the cerebral cortex, involved in higher-order brain functions such as sensory perception, motor commands, reasoning, and language.",Neocortex,,,,,,,,,neocortical,,cerebral cortex,sensory perception,motor control,reasoning,language,cognition,higher-order function,
Neologism,,"A newly coined word or expression. In neuropsychology, may refer to nonsensical or made-up words produced by individuals with certain types of aphasia.",Neologisms,,,,,,,neologism,,neologistic,,aphasia,language disorder,speech production,Wernicke aphasia,cognitive disorder,,,
Neostriatum,,A subdivision of the basal ganglia comprising the caudate nucleus and putamen. It is involved in motor control and reward processing.,Neostriatum,dorsal striatum,,,,,,,,neostriatal,,basal ganglia,caudate nucleus,putamen,motor control,reward processing,dopamine,,
Neural crest,,"A group of embryonic cells that gives rise to various structures, including peripheral neurons, glia, and parts of the face and skull.",Neural Crest,,,,,,,,,,,embryonic development,peripheral neurons,glia,neural development,craniofacial development,migration,,
Neural oscillation,,"Rhythmic or repetitive electrical activity in the central nervous system, often observed as brain waves in EEG recordings.",Brain Waves,brain wave,brain rhythm,,,,,,oscillate,,,EEG,brain activity,synchronization,neural network,alpha wave,theta wave,gamma wave,delta wave
Neural plasticity,,"The ability of the nervous system to change its structure and function in response to experience, injury, or development.",Neuronal Plasticity,neuroplasticity,brain plasticity,synaptic plasticity,,,,,,plastic,,learning,memory,synapse,neural development,brain injury,recovery,adaptation,
Neural stem cell,,A self-renewing progenitor cell capable of generating neurons and glial cells. Found in the developing brain and certain adult brain regions such as the hippocampus.,Neural Stem Cells,NSC,,,NSC,,,,,,,neurogenesis,progenitor cell,hippocampus,brain development,self-renewal,differentiation,glia,
Neurodegeneration,,"The progressive loss of structure or function of neurons, often leading to cell death. Seen in disorders such as Alzheimer's disease and Parkinson's disease.",Neurodegenerative Diseases,,,,,,,,neurodegenerate,neurodegenerative,,neuron,cell death,Alzheimer disease,Parkinson disease,protein aggregation,neuronal loss,,
Neurodevelopment,,"The biological processes through which the nervous system grows and matures, including neurogenesis, migration, synaptogenesis, and myelination.",Nervous System,,,,,,,,,neurodevelopmental,,neurogenesis,synaptogenesis,myelination,brain development,neural migration,maturation,,
Neuroeconomics,,"An interdisciplinary field that combines neuroscience, psychology, and economics to study decision-making and reward processing in the brain.",,,,,,,,,,,,decision-making,reward,neuroscience,psychology,economics,prefrontal cortex,,
Neuroepithelial cell,,"A type of cell in the developing neural tube that gives rise to neural progenitor cells, which later differentiate into neurons and glia.",,,,,,,,,,,,neural tube,progenitor cell,neurogenesis,brain development,differentiation,embryonic development,,
Neuroethology,,"The study of the neural basis of natural animal behavior, often involving model species and evolutionary comparisons.",,,,,,,,,,,,animal behavior,neuroscience,evolution,sensory system,motor control,comparative neuroscience,,
Neurofilament,,"A type of intermediate filament found in neurons, important for maintaining cell shape and axonal transport.",Neurofilament Proteins,,,,,,,,,,,neuron,cytoskeleton,axonal transport,cell structure,intermediate filament,axon,,
