Term,Term Two,Definition,Closest MeSH term,Synonym 1,Synonym 2,Synonym 3,Abbreviation,UK Spelling,US Spelling,Noun Form of Word,Verb Form of Word,Adjective Form of Word,Adverb Form of Word,Commonly Associated Term 1,Commonly Associated Term 2,Commonly Associated Term 3,Commonly Associated Term 4,Commonly Associated Term 5,Commonly Associated Term 6,Commonly Associated Term 7,Commonly Associated Term 8
Radial glial cell,,A type of glial cell present during brain development that serves as a scaffold for migrating neurons and acts as a neural progenitor cell.,Neuroglia,radial glia,,,,,,,,radial glial,,brain development,neuronal migration,neural progenitor,scaffold,cortical development,neurogenesis,,
Rasmussen's encephalitis,,"A rare chronic inflammatory neurological disorder that typically affects one hemisphere of the brain, causing seizures, progressive weakness, and cognitive decline.",Encephalitis,Rasmussen syndrome,,,,,,,,,,seizures,hemisphere,inflammation,epilepsy,cognitive decline,hemispherectomy,,
Receptor potential,,A change in membrane potential in a sensory receptor cell in response to a stimulus. It may trigger action potentials in sensory neurons.,Membrane Potentials,generator potential,,,,,,,,,,sensory receptor,membrane potential,action potential,transduction,sensory neuron,stimulus,,
Receptor tyrosine kinase,,"A class of receptors involved in cell growth and differentiation. In neuroscience, RTKs mediate responses to neurotrophic factors like BDNF and NGF.",Receptor Protein-Tyrosine Kinases,,,,RTK,,,,,,,cell growth,differentiation,neurotrophic factors,BDNF,NGF,signal transduction,phosphorylation,
Reelin,,A protein involved in regulating neuronal migration and positioning during brain development. Disruption is associated with lissencephaly and schizophrenia.,"Cell Adhesion Molecules, Neuronal",,,,,,,,,,,neuronal migration,brain development,lissencephaly,schizophrenia,cortical layering,extracellular matrix,,
Reflex,,"A rapid, automatic motor response to a stimulus, often mediated by the spinal cord without conscious brain involvement.",Reflex,,,,,,,reflex,,reflexive,reflexively,spinal cord,motor response,stimulus,automatic,reflex arc,sensory neuron,motor neuron,
Refractory period,,A brief period following an action potential during which a neuron is less excitable or unable to fire another action potential.,"Refractory Period, Electrophysiological",,,,,,,,,refractory,,action potential,absolute refractory period,relative refractory period,sodium channels,neuronal excitability,depolarization,,
Relative refractory period,,"The phase during which a neuron can fire another action potential, but only with a stronger-than-normal stimulus. Follows the absolute refractory period.","Refractory Period, Electrophysiological",,,,,,,,,,,action potential,refractory period,absolute refractory period,stimulus,neuronal excitability,hyperpolarization,potassium channels,
REM sleep,,"A sleep phase characterized by rapid eye movements, vivid dreams, muscle atonia, and heightened brain activity resembling wakefulness.","Sleep, REM",rapid eye movement sleep,paradoxical sleep,,REM,,,,,,,sleep,dreams,muscle atonia,rapid eye movement,sleep cycle,brain activity,memory consolidation,
Resting membrane potential,,"The baseline electrical potential across the neuron's membrane when it is not actively sending signals, typically around –70 mV in neurons.",Membrane Potentials,resting potential,,,RMP,,,,,,,membrane potential,neuron,ion channels,sodium-potassium pump,polarization,action potential,electrochemical gradient,
Reticular formation,,"A network of nuclei in the brainstem involved in regulating arousal, attention, sleep–wake cycles, and autonomic functions.",Reticular Formation,,,,,,,,,reticular,,brainstem,arousal,attention,sleep-wake cycle,autonomic function,consciousness,,
Retina,,A thin layer of tissue at the back of the eye that contains photoreceptors and neurons responsible for detecting light and initiating visual processing.,Retina,,,,,,,retina,,retinal,,photoreceptors,rods,cones,ganglion cells,visual processing,eye,optic nerve,
Retinotopy,,"An orderly representation of the visual field maintained throughout the visual pathways, including the visual cortex.",,retinotopic organization,retinotopic mapping,,,,,retinotopy,,retinotopic,retinotopically,visual field,visual cortex,visual pathways,topographic organization,spatial mapping,V1,,
Retrograde amnesia,,"A type of memory loss where individuals cannot recall past memories prior to a brain injury, while the ability to form new memories may be preserved.","Amnesia, Retrograde",,,,,,,,,,,memory loss,brain injury,amnesia,past memories,hippocampus,anterograde amnesia,,
