Term,Term Two,Definition,Closest MeSH term,Synonym 1,Synonym 2,Synonym 3,Abbreviation,UK Spelling,US Spelling,Noun Form of Word,Verb Form of Word,Adjective Form of Word,Adverb Form of Word,Commonly Associated Term 1,Commonly Associated Term 2,Commonly Associated Term 3,Commonly Associated Term 4,Commonly Associated Term 5,Commonly Associated Term 6,Commonly Associated Term 7,Commonly Associated Term 8
Wada test,,"A procedure used to determine language and memory functions in each hemisphere of the brain. It involves anesthetizing one hemisphere at a time, usually with sodium amobarbital, and is commonly performed prior to epilepsy surgery.",Amobarbital,intracarotid amobarbital procedure,intracarotid sodium amobarbital test,,,,,,,,,language lateralization,memory lateralization,cerebral hemispheres,epilepsy surgery,sodium amobarbital,functional laterality,brain mapping,
Wallerian degeneration,,A process of degeneration that occurs in an axon distal to the site of injury. It is a key feature of nerve damage in both the central and peripheral nervous systems.,Wallerian Degeneration,,,,,,,degeneration,degenerate,,,axon,nerve injury,peripheral nerve,central nervous system,distal degeneration,axonal degeneration,nerve damage,neuropathy
Waxy flexibility,,A psychomotor symptom often associated with catatonia and schizophrenia in which a patient's limbs remain in a fixed position after being moved by someone else.,Catalepsy,cerea flexibilitas,,,,,,,,,,catatonia,schizophrenia,psychomotor symptoms,posturing,motor abnormalities,psychiatric symptoms,,
Weber–Fechner law,WeberFechner law,A principle in sensory neuroscience that describes the relationship between the magnitude of a physical stimulus and the perceived intensity. Suggests logarithmic scaling of sensation.,Psychophysics,,,,,,,,,,,psychophysics,sensory perception,stimulus intensity,perception,logarithmic scaling,just-noticeable difference,sensory neuroscience,psychophysical law
Wernicke's area,Wernickes area,"A region of the posterior superior temporal gyrus in the dominant hemisphere, involved in language comprehension. Damage here causes Wernicke's aphasia, which impairs understanding of spoken and written language.",Wernicke Area,Brodmann area 22,,,,,,,,,,language comprehension,Wernicke's aphasia,superior temporal gyrus,receptive aphasia,language processing,speech comprehension,posterior language area,dominant hemisphere
Wernicke's encephalopathy,Wernickes encephalopathy,"A neurological condition caused by thiamine deficiency, typically seen in chronic alcoholics. It manifests with a triad of symptoms: confusion, ataxia, and ophthalmoplegia.",Wernicke Encephalopathy,Wernicke syndrome,,,WE,,,,,,,thiamine deficiency,alcoholism,confusion,ataxia,ophthalmoplegia,Korsakoff syndrome,nutritional deficiency,beriberi
West syndrome,,"A severe form of epilepsy in infancy characterized by infantile spasms, developmental regression, and a distinctive EEG pattern called hypsarrhythmia.","Spasms, Infantile",,,,,,,,,,,infantile spasms,epilepsy,hypsarrhythmia,developmental regression,seizure,pediatric epilepsy,epileptic encephalopathy,
White matter,,"Tissue in the brain and spinal cord composed primarily of myelinated axons, facilitating communication between gray matter regions. Plays a central role in signal transmission speed and integration.",White Matter,substantia alba,,,,,,,,,,myelinated axons,gray matter,central nervous system,brain,spinal cord,myelin,axon tracts,neural connectivity
White matter hyperintensities,,"Lesions seen on MRI as bright spots in the brain's white matter, often associated with aging, vascular disease, and cognitive decline.",Leukoaraiosis,leukoaraiosis,,,WMH,,,,,,,white matter,MRI,aging,vascular disease,cognitive decline,brain lesions,cerebrovascular disease,small vessel disease
Wilson's disease,Wilsons disease,"A rare genetic disorder involving impaired copper metabolism that leads to copper buildup in the brain, liver, and other tissues. Neurological symptoms include tremors, dystonia, and psychiatric changes.",Hepatolenticular Degeneration,hepatolenticular degeneration,,,WD,,,,,,,copper metabolism,liver disease,basal ganglia,tremor,dystonia,Kayser-Fleischer rings,genetic disorder,neurodegeneration
Wolfram syndrome,,"A rare genetic disorder involving diabetes insipidus, diabetes mellitus, optic atrophy, and deafness (DIDMOAD). Associated with neurodegeneration and mitochondrial dysfunction.",Wolfram Syndrome,DIDMOAD,,,WS,,,,,,,diabetes insipidus,diabetes mellitus,optic atrophy,deafness,genetic disorder,neurodegeneration,mitochondrial dysfunction,
Working memory,,A form of short-term memory that allows temporary storage and manipulation of information necessary for tasks like reasoning and comprehension. Often localized to the dorsolateral prefrontal cortex.,"Memory, Short-Term",,,,,,,,,,,short-term memory,prefrontal cortex,executive function,cognitive control,attention,temporary storage,information processing,reasoning
Wrist drop,,"A neurological condition caused by radial nerve damage, resulting in an inability to extend the wrist and fingers. Often associated with nerve compression or trauma.",Radial Neuropathy,drop wrist,,,,,,,,,,radial nerve,peripheral nerve injury,nerve compression,motor deficit,upper extremity,hand weakness,nerve damage,neuropathy
