Term,Term Two,Definition,Closest MeSH term,Synonym 1,Synonym 2,Synonym 3,Abbreviation,UK Spelling,US Spelling,Noun Form of Word,Verb Form of Word,Adjective Form of Word,Adverb Form of Word,Commonly Associated Term 1,Commonly Associated Term 2,Commonly Associated Term 3,Commonly Associated Term 4,Commonly Associated Term 5,Commonly Associated Term 6,Commonly Associated Term 7,Commonly Associated Term 8
Facial nerve,,"A cranial nerve that controls the muscles of facial expression, conveys taste sensations from the anterior two-thirds of the tongue, and carries parasympathetic fibers to salivary and lacrimal glands.",Facial Nerve,cranial nerve VII,CN VII,,CN VII,,,,,,,cranial nerve,facial expression,taste,parasympathetic,salivary gland,Bell's Palsy,Chorda tympani,Geniculate ganglion
Facilitation,,"A short-term increase in synaptic strength resulting from prior activity, due to residual calcium in the presynaptic terminal. It contributes to short-term plasticity and temporal coding.",Neuronal Plasticity,synaptic facilitation,neural facilitation,,,,,facilitation,facilitate,,,synaptic plasticity,presynaptic terminal,calcium,short-term plasticity,temporal summation,Paired-pulse facilitation,Synaptic depression,Vesicle release probability
Fear conditioning,,A form of associative learning in which a neutral stimulus becomes associated with an aversive event. It is often used to study emotional memory and the role of the amygdala.,"Conditioning, Classical",classical fear conditioning,Pavlovian fear conditioning,,,,,,,,,amygdala,associative learning,emotional memory,conditioned response,aversive learning,Fear extinction,Hippocampus,Long-term potentiation
Fiber tract,,"A bundle of axons in the central nervous system that connects different brain regions. Examples include the corpus callosum, optic tract, and corticospinal tract.",Nerve Fibers,white matter tract,neural pathway,,,,,,,,,axon,white matter,corpus callosum,central nervous system,neural connectivity,Tractography,Myelin,Commissural fibers
Field potential,,"An electrical potential recorded from a population of neurons, often reflecting the summed synaptic input to a region. Measured using electroencephalography or implanted electrodes.",Evoked Potentials,local field potential,,,LFP,,,,,,,electroencephalography,synaptic activity,neural population,electrophysiology,extracellular recording,Spike-triggered average,Event-Related Potential,Neural Oscillations
Fight-or-flight response,,"A physiological reaction to perceived threat or danger, involving the sympathetic nervous system and hormones such as epinephrine and cortisol.","Stress, Physiological",acute stress response,,,,,,,,,,sympathetic nervous system,epinephrine,stress response,cortisol,adrenal gland,Amygdala,HPA axis,Parasympathetic nervous system
Forebrain,,"The largest part of the brain, consisting of the cerebrum, thalamus, and hypothalamus. It is involved in complex behaviors, emotion, and cognition.",Prosencephalon,,,,,,,,,,,cerebrum,thalamus,hypothalamus,telencephalon,diencephalon,,,
Fornix,,A C-shaped bundle of white matter fibers that connects the hippocampus to the hypothalamus and other structures in the limbic system. Important for memory and emotional regulation.,"Fornix, Brain",,,,,,,fornix,,,,hippocampus,limbic system,hypothalamus,memory,white matter,Papez circuit,Mammillary bodies,Septal nuclei
Free nerve ending,,"A type of unencapsulated nerve ending that detects pain, temperature, and crude touch. These are the most common type of cutaneous receptors.",Nerve Endings,,,,,,,,,,,nociception,pain,temperature sensation,sensory receptor,cutaneous receptor,Nociceptor,Somatosensory system,Aδ fiber
Frontal lobe,,"A region of the cerebral cortex involved in decision-making, planning, motor function, problem-solving, and aspects of personality. Located at the front of each cerebral hemisphere.",Frontal Lobe,,,,,,,,,frontal,frontally,cerebral cortex,executive function,motor cortex,prefrontal cortex,decision-making,Broca's area,Working memory,Frontal lobe syndrome
Frontal eye fields,,A region in the frontal lobe involved in voluntary eye movements and visual attention. It plays a role in saccadic control and visual tracking.,Frontal Lobe,,,,FEF,,,,,,,eye movement,saccade,visual attention,frontal lobe,oculomotor control,Brodmann area 8,Superior colliculus,Smooth pursuit
Functional connectivity,,"A measure of how different brain regions interact during rest or tasks, often assessed using fMRI or EEG by examining correlations in activity over time.",Connectome,,,,,,,,,,,fMRI,brain connectivity,neural network,resting state,brain mapping,Effective connectivity,Structural connectivity,Default Mode Network
Functional magnetic resonance imaging,,A neuroimaging technique that measures brain activity by detecting changes in blood oxygenation (BOLD signal). It is used to study brain function in real time.,Magnetic Resonance Imaging,,,,fMRI,,,,,,,BOLD signal,neuroimaging,brain activity,blood oxygenation,brain mapping,Hemodynamic response,General Linear Model (GLM),Neurovascular coupling
Fusiform gyrus,,"A brain region located in the temporal and occipital lobes involved in high-level visual processing, including facial recognition and object categorization.",Temporal Lobe,,,,,,,,,,,visual processing,facial recognition,object recognition,temporal lobe,occipital lobe,Prosopagnosia,Fusiform Face Area,Ventral stream
Fusiform face area,,A specialized part of the fusiform gyrus that responds selectively to faces. It is often studied in the context of prosopagnosia (face blindness) and visual expertise.,Temporal Lobe,FFA,,,FFA,,,,,,,fusiform gyrus,facial recognition,face perception,prosopagnosia,visual cortex,Occipital face area,Ventral stream,Configural processing
