Term,Term Two,Definition,Closest MeSH term,Synonym 1,Synonym 2,Synonym 3,Abbreviation,UK Spelling,US Spelling,Noun Form of Word,Verb Form of Word,Adjective Form of Word,Adverb Form of Word,Commonly Associated Term 1,Commonly Associated Term 2,Commonly Associated Term 3,Commonly Associated Term 4,Commonly Associated Term 5,Commonly Associated Term 6,Commonly Associated Term 7,Commonly Associated Term 8
Habituation,,"A form of non-associative learning in which an organism decreases or ceases its responses to a repetitive, harmless stimulus over time.","Habituation, Psychophysiologic",,,,,,,habituation,habituate,,,learning,sensory adaptation,stimulus,behavioral response,desensitization,,,
Hallucination,,"A perception in the absence of external stimulus, such as hearing voices or seeing things that are not present. Common in conditions like schizophrenia or sensory deprivation.",Hallucinations,,,,,,,hallucination,hallucinate,hallucinatory,,schizophrenia,psychosis,sensory deprivation,perception,auditory hallucination,visual hallucination,,
Hemispheres of the brain,,The two symmetrical halves of the brain—left and right—that control opposite sides of the body. Each hemisphere has specialized functions but works in coordination with the other.,Functional Laterality,cerebral hemispheres,brain hemispheres,,,,,hemisphere,,hemispheric,,lateralization,corpus callosum,cerebral cortex,left hemisphere,right hemisphere,contralateral control,,
Hemispatial neglect,,"A neuropsychological condition in which a person fails to attend to one side of space, usually the left, following damage to the right parietal lobe.",Perceptual Disorders,spatial neglect,unilateral neglect,hemi-inattention,,,,neglect,,,,parietal lobe,attention,spatial awareness,stroke,right hemisphere,visual field,,
Hering's law of equal innervation,,A principle in ocular motor control stating that yoked eye muscles receive equal neural signals to maintain coordinated binocular eye movements.,,,,,,,,,,,,ocular motor control,eye movement,binocular vision,extraocular muscles,neural innervation,gaze coordination,,
Hertz,,"A unit of frequency equal to one cycle per second. Used in neuroscience to describe brain wave activity, neural firing rates, and oscillations.",,,,,Hz,,,,,,,frequency,brain waves,neural oscillations,action potential,EEG,firing rate,,
Hindbrain,,"The posterior part of the brain, including the medulla oblongata, pons, and cerebellum. It regulates vital autonomic functions and coordinates movement.",Rhombencephalon,rhombencephalon,,,,,,,,,,medulla oblongata,pons,cerebellum,brainstem,autonomic function,motor coordination,,
Hippocampus,,"A brain structure located in the medial temporal lobe, critical for memory formation, spatial navigation, and learning. Damage is associated with anterograde amnesia.",Hippocampus,,,,,,,hippocampus,,hippocampal,,memory formation,spatial navigation,temporal lobe,learning,anterograde amnesia,declarative memory,place cells,neurogenesis
Histamine,,"A neurotransmitter involved in arousal, wakefulness, and inflammatory responses. Histaminergic neurons are primarily located in the hypothalamus.",Histamine,,,,,,,histamine,,histaminergic,,neurotransmitter,arousal,wakefulness,hypothalamus,inflammation,histamine receptor,,
Histology,,"The microscopic study of tissues, including the structure of neural tissue such as neurons, glia, and blood vessels.",Histology,,,,,,,histology,,histological,histologically,tissue,microscopy,neuron,glia,neural tissue,staining,,
Homeostasis,,"The regulation of internal conditions to maintain a stable physiological state. The hypothalamus plays a key role in regulating temperature, hunger, and other homeostatic processes.",Homeostasis,,,,,,,homeostasis,,homeostatic,homeostatically,hypothalamus,regulation,physiological state,temperature regulation,hunger,thirst,autonomic nervous system,negative feedback
Homunculus,,"A distorted representation of the human body based on the relative amount of cortex devoted to each body part, especially in the somatosensory and motor areas.",,cortical homunculus,sensory homunculus,motor homunculus,,,,homunculus,,,,somatosensory cortex,motor cortex,cortical representation,body map,somatotopy,Penfield,,
