Term,Term Two,Definition,Closest MeSH term,Synonym 1,Synonym 2,Synonym 3,Abbreviation,UK Spelling,US Spelling,Noun Form of Word,Verb Form of Word,Adjective Form of Word,Adverb Form of Word,Commonly Associated Term 1,Commonly Associated Term 2,Commonly Associated Term 3,Commonly Associated Term 4,Commonly Associated Term 5,Commonly Associated Term 6,Commonly Associated Term 7,Commonly Associated Term 8
Tactile agnosia,,"The inability to recognize objects by touch, despite intact somatosensation. Often results from lesions in the parietal lobe.",Agnosia,astereognosis,tactile object agnosia,,,,,,,tactile,,parietal lobe,somatosensation,touch,object recognition,sensory deficit,stereognosis,,
Tardive dyskinesia,,"A neurological disorder characterized by involuntary, repetitive movements, typically of the face or limbs. Often a side effect of long-term use of antipsychotic medications.",Tardive Dyskinesia,,,,TD,,,,,,,antipsychotic medication,involuntary movement,movement disorder,extrapyramidal symptoms,dopamine receptor,basal ganglia,,
Tau protein,,A microtubule-associated protein involved in stabilizing neuronal cytoskeletons. Abnormal tau aggregation is a hallmark of Alzheimer's disease and other tauopathies.,tau Proteins,,,,,,,,,,,microtubule,cytoskeleton,Alzheimer's disease,tauopathy,neurofibrillary tangle,neurodegeneration,protein aggregation,
Tectum,,"The dorsal part of the midbrain, containing structures such as the superior colliculus and inferior colliculus, involved in visual and auditory reflexes.",Tectum Mesencephali,tectal plate,,,,,,,,tectal,,midbrain,superior colliculus,inferior colliculus,visual reflex,auditory reflex,brainstem,,
Telencephalon,,"The anterior part of the forebrain that develops into the cerebral hemispheres. It contains the cerebral cortex, basal ganglia, and limbic system structures.",Telencephalon,endbrain,,,,,,,,telencephalic,,forebrain,cerebral hemisphere,cerebral cortex,basal ganglia,limbic system,brain development,,
Temporal lobe,,"A lobe of the cerebral cortex involved in auditory processing, language comprehension, memory, and emotion.",Temporal Lobe,,,,,,,,,temporal,,auditory processing,hippocampus,memory,language comprehension,emotion,cerebral cortex,,
Thalamus,,"A deep brain structure that serves as a major relay center, transmitting sensory and motor signals to the cerebral cortex. It also plays a role in consciousness and alertness.",Thalamus,,,,,,,,,thalamic,,relay center,sensory processing,motor control,consciousness,diencephalon,cerebral cortex,alertness,
Theta wave,,"A type of brainwave oscillation in the 4–8 Hz range, typically associated with light sleep, meditation, and memory encoding processes.",Theta Rhythm,theta rhythm,theta oscillation,,,,,,,,,brainwave,EEG,hippocampus,memory encoding,sleep,meditation,neural oscillation,
Third ventricle,,"A narrow cavity in the brain located between the two halves of the diencephalon, connected to the lateral and fourth ventricles and filled with cerebrospinal fluid.",Third Ventricle,,,,,,,,,,,diencephalon,cerebrospinal fluid,ventricular system,lateral ventricle,fourth ventricle,brain ventricle,,
Thoracic spinal cord,,The portion of the spinal cord that corresponds to the thoracic vertebrae. It controls trunk muscles and part of the sympathetic nervous system.,Thoracic Vertebrae,,,,,,,,,thoracic,,spinal cord,thoracic vertebrae,trunk muscle,sympathetic nervous system,spinal segment,,,
Tonic receptor,,"A sensory receptor that continues to fire throughout the duration of a stimulus. Contrasts with phasic receptors, which adapt quickly.",,slowly adapting receptor,,,,,,,,tonic,,sensory receptor,adaptation,phasic receptor,sustained response,mechanoreceptor,,,
Tonic-clonic seizure,,A type of generalized seizure involving an initial tonic phase of muscle stiffening followed by a clonic phase of rhythmic jerking. Often accompanied by loss of consciousness.,Seizures,grand mal seizure,,,,,,,,,,epilepsy,seizure,convulsion,loss of consciousness,muscle contraction,generalized seizure,,
Top-down processing,,Perception driven by cognition — the brain applies what it knows and expects to what it sees. In contrast to bottom-up processing.,,conceptually-driven processing,,,,,,,,,,perception,cognition,attention,expectation,bottom-up processing,visual processing,,
Transcranial direct current stimulation,,A noninvasive brain stimulation technique that applies a low electrical current to the scalp to modulate neuronal excitability.,Transcranial Direct Current Stimulation,,,,tDCS,,,,,,,brain stimulation,neuromodulation,neuronal excitability,noninvasive,electrical current,cognitive enhancement,,
Transcranial magnetic stimulation,,A noninvasive method to stimulate or inhibit brain activity using magnetic fields. Used in both research and treatment for depression and other disorders.,Transcranial Magnetic Stimulation,,,,TMS,,,,,,,brain stimulation,neuromodulation,magnetic field,depression treatment,motor cortex,noninvasive,,
Transduction,,"The process of converting a physical stimulus (e.g., light, sound, touch) into an electrical signal in sensory receptors.",Signal Transduction,sensory transduction,,,,,,transduction,transduce,,,sensory receptor,stimulus,electrical signal,signal conversion,sensory processing,,,
Trigeminal nerve,,"The largest cranial nerve, responsible for sensation in the face and motor control of biting and chewing.",Trigeminal Nerve,cranial nerve V,fifth cranial nerve,,CN V,,,,,trigeminal,,cranial nerve,facial sensation,mastication,chewing,trigeminal neuralgia,brainstem,,
Trophic factor,,"A substance, such as nerve growth factor (NGF), that supports the growth, survival, and differentiation of neurons.",Nerve Growth Factors,neurotrophic factor,,,,,,,,trophic,,nerve growth factor,neuronal survival,neuronal differentiation,growth factor,neurodevelopment,BDNF,,
Tuberomammillary nucleus,,"A small cluster of histaminergic neurons in the hypothalamus involved in arousal, attention, and the sleep–wake cycle.",,,,,TMN,,,,,,,hypothalamus,histamine,arousal,sleep-wake cycle,attention,histaminergic neuron,,
Two-point discrimination,,The ability to distinguish two closely spaced tactile stimuli as separate. Used to assess somatosensory function.,,,,,,,,,,,,somatosensory function,tactile perception,sensory testing,touch,mechanoreceptor,spatial resolution,,
