Term,Term Two,Definition,Closest MeSH term,Synonym 1,Synonym 2,Synonym 3,Abbreviation,UK Spelling,US Spelling,Noun Form of Word,Verb Form of Word,Adjective Form of Word,Adverb Form of Word,Commonly Associated Term 1,Commonly Associated Term 2,Commonly Associated Term 3,Commonly Associated Term 4,Commonly Associated Term 5,Commonly Associated Term 6,Commonly Associated Term 7,Commonly Associated Term 8
Vagus nerve,,"Cranial nerve X, responsible for parasympathetic control of the heart, lungs, and digestive tract. It also conveys sensory information from the viscera to the brainstem.",Vagus Nerve,cranial nerve X,tenth cranial nerve,,CN X,,,,,vagal,,parasympathetic nervous system,heart rate,digestion,brainstem,viscera,autonomic control,cranial nerve,vagal tone
Vasopressin,,"Also known as antidiuretic hormone (ADH), it regulates water balance and blood pressure. In the brain, vasopressin influences social behavior and memory.",Vasopressins,antidiuretic hormone,,,ADH,,,,,,,water balance,blood pressure,social behavior,memory,hypothalamus,posterior pituitary,hormone,osmoregulation
Ventral,,"A directional term meaning ""toward the front"" in the spinal cord or ""toward the bottom"" in the brain. Opposite of dorsal.",,anterior,,,,,,,,ventral,ventrally,dorsal,anatomical direction,spinal cord,brain anatomy,anterior,neuroanatomy,,
Ventral horn,,"The anterior portion of the spinal cord's gray matter, containing motor neurons that project to skeletal muscles.",Anterior Horn Cells,anterior horn,,,,,,,,,,spinal cord,motor neurons,gray matter,skeletal muscle,lower motor neuron,motor control,ventral root,
Ventral stream,,"A visual processing pathway (""what"" pathway) that travels from the occipital lobe to the temporal lobe and is involved in object recognition and form representation.",Visual Pathways,what pathway,ventral pathway,,,,,,,,,object recognition,temporal lobe,visual processing,dorsal stream,occipital lobe,form perception,visual cortex,inferotemporal cortex
Ventral tegmental area,,"A midbrain structure containing dopaminergic neurons that project to the nucleus accumbens and prefrontal cortex, central to reward and motivation.",Ventral Tegmental Area,,,,VTA,,,,,,,dopamine,reward,nucleus accumbens,prefrontal cortex,motivation,mesolimbic pathway,midbrain,addiction
Ventricles,,"A set of interconnected cavities in the brain filled with cerebrospinal fluid (CSF), which cushions the brain and maintains intracranial pressure.",Cerebral Ventricles,cerebral ventricles,brain ventricles,,,,,ventricle,,ventricular,,cerebrospinal fluid,CSF,lateral ventricle,third ventricle,fourth ventricle,intracranial pressure,choroid plexus,hydrocephalus
Vestibular system,,"The sensory system that contributes to balance, spatial orientation, and coordination of head and eye movements. Includes the semicircular canals and otolith organs.","Vestibule, Labyrinth",,,,,,,,,vestibular,,balance,spatial orientation,semicircular canals,otolith organs,inner ear,vestibulo-ocular reflex,utricle,saccule
Vestibulo-ocular reflex,Vestibuloocular reflex,"A reflex that stabilizes vision by producing eye movements in the opposite direction of head movement, allowing steady gaze.","Reflex, Vestibulo-Ocular",,,,VOR,,,,,,,eye movement,gaze stabilization,vestibular system,head movement,visual stability,semicircular canals,oculomotor control,reflex
Vesicle,,"A small, intracellular, membrane-enclosed sac. In neurons, vesicles are essential for sequestering, transporting, storing, and releasing various substances.",Synaptic Vesicles,,,,,,,vesicle,,vesicular,,neurotransmitter,synaptic transmission,synaptic cleft,exocytosis,presynaptic terminal,neurotransmitter release,synapse,vesicular transport
Vesicular transport,,The process by which neurotransmitters are packaged into synaptic vesicles and transported to the axon terminal for release.,Biological Transport,,,,,,,,,,,synaptic vesicle,neurotransmitter,axon terminal,vesicle,exocytosis,endocytosis,synaptic transmission,membrane trafficking
Visual cortex,,The region of the cerebral cortex responsible for processing visual information. Includes primary visual cortex (V1) and surrounding higher-order visual areas.,Visual Cortex,,,,,,,,,,,primary visual cortex,V1,occipital lobe,visual processing,striate cortex,extrastriate cortex,vision,visual perception
Visual field,,The entire area that can be seen when the eyes are fixed in one position. Deficits in specific areas of the visual field are used to localize brain lesions.,Visual Fields,,,,,,,,,,,vision,visual perception,visual field defect,hemianopia,scotoma,perimetry,retina,optic pathway
Volition,,The cognitive process of making decisions or initiating voluntary movements. Involves the prefrontal cortex and supplementary motor area.,Volition,will,,,,,,volition,,volitional,volitionally,voluntary movement,decision making,prefrontal cortex,supplementary motor area,free will,motor planning,intention,agency
Voxel-based morphometry,Voxelbased morphometry,"A neuroimaging analysis technique that compares local concentrations of brain tissue (e.g., gray matter) across individuals using MRI data.",Neuroimaging,,,,VBM,,,,,,,MRI,neuroimaging,gray matter,brain tissue,voxel,morphometry,structural MRI,brain analysis
