Term,Term Two,Definition,Closest MeSH term,Synonym 1,Synonym 2,Synonym 3,Abbreviation,UK Spelling,US Spelling,Noun Form of Word,Verb Form of Word,Adjective Form of Word,Adverb Form of Word,Commonly Associated Term 1,Commonly Associated Term 2,Commonly Associated Term 3,Commonly Associated Term 4,Commonly Associated Term 5,Commonly Associated Term 6,Commonly Associated Term 7,Commonly Associated Term 8
K-complex,,"A large, slow wave seen in EEG during stage 2 of non-REM sleep. It is involved in memory consolidation and sensory processing during sleep.",Sleep Stages,,,,,,,,,,,EEG,non-REM sleep,sleep spindle,memory consolidation,sensory processing,stage 2 sleep,,
Kainate receptor,,A subtype of ionotropic glutamate receptor involved in fast excitatory synaptic transmission. Kainate receptors play roles in learning and are implicated in seizure disorders.,"Receptors, Kainic Acid",,,,,,,,,,,ionotropic glutamate receptor,excitatory synaptic transmission,learning,seizure,epilepsy,glutamate,neurotransmission,
Kallmann syndrome,,A genetic condition characterized by delayed or absent puberty and an impaired sense of smell. It results from disrupted migration of olfactory and gonadotropin-releasing hormone neurons.,Kallmann Syndrome,olfactogenital dysplasia,,,,,,,,,,hypogonadism,anosmia,GnRH neuron,olfactory neuron,neuronal migration,puberty,genetic disorder,
Karyokinesis,,"The process of nuclear division during cell division. In the context of developmental neuroscience, it describes how neural progenitor cells divide in the developing brain.",Mitosis,,,,,,,,,,,cell division,mitosis,neural progenitor cell,neurogenesis,brain development,,,
Karyotype,,"A visual profile of an organism's chromosomes. In neuroscience, used in research or diagnostics for identifying chromosomal abnormalities linked to neurodevelopmental disorders.",Mitosis,,,,,,,,,,,chromosome,genetic analysis,neurodevelopmental disorder,chromosomal abnormality,genetic testing,cytogenetics,,
Kelvin-Voigt model,,"A viscoelastic model used in computational neuroscience and biomechanics to describe tissue deformation, including brain tissue mechanics.",,,,,,,,,,,,viscoelasticity,biomechanics,computational neuroscience,brain tissue,tissue mechanics,deformation,mechanical modeling,
Keratitis,,"Inflammation of the cornea, which may be linked to neural dysfunction in the trigeminal nerve or autonomic nervous system regulation.",Keratitis,,,,,,,,,,,cornea,trigeminal nerve,autonomic nervous system,inflammation,ocular neurology,,,
Kinesthesia,,"The sense of limb and body movement, closely related to proprioception. It is mediated by mechanoreceptors in muscles and joints and processed in the somatosensory cortex.",Kinesthesis,,,,,,,,,kinesthetic,,proprioception,mechanoreceptor,somatosensory cortex,body movement,motor control,muscle spindle,joint receptor,
Kindling,,A process by which repeated sub-threshold electrical or chemical stimulation of the brain leads to progressively more intense seizures. Used as a model for epilepsy.,,,,,,,,,,,,epilepsy,seizure,neuroplasticity,excitability,temporal lobe epilepsy,animal model,neuronal sensitization,
Kleptomania,,A psychiatric disorder characterized by recurrent urges to steal items not needed for personal use or value. Considered in neuropsychiatry as a type of impulse control disorder involving frontal lobe dysfunction.,"Disruptive, Impulse Control, and Conduct Disorders",,,,,,,,,,,impulse control disorder,frontal lobe,compulsive behavior,neuropsychiatry,behavioral disorder,prefrontal cortex,,
Kluver-Bucy syndrome,,"A behavioral disorder caused by bilateral lesions of the amygdala and temporal lobes, resulting in hyperorality, hypersexuality, and emotional blunting.","Disruptive, Impulse Control, and Conduct Disorders",,,,,,,,,,,amygdala,temporal lobe,hyperorality,hypersexuality,emotional blunting,bilateral lesion,behavioral syndrome,
Knock-in,,"A genetic technique where a gene is replaced or inserted at a specific locus, allowing researchers to study the function of specific mutations in neural systems.",,gene knock-in,targeted insertion,,,,,,,,,gene targeting,genetic engineering,mutation,transgenic model,molecular neuroscience,genome editing,,
Knockout mouse,,A genetically engineered mouse in which one or more genes have been turned off through targeted mutation. Frequently used to study gene function in brain development and behavior.,"Mice, Knockout",gene knockout mouse,,,,,,,,,,gene knockout,genetic engineering,transgenic mouse,animal model,gene function,neuroscience research,behavioral genetics,
Korsakoff syndrome,,"A chronic memory disorder caused by thiamine (vitamin B1) deficiency, most commonly due to chronic alcohol misuse. It involves degeneration of the mammillary bodies and medial thalamus.",Korsakoff Syndrome,Korsakoff psychosis,Wernicke-Korsakoff syndrome,,,,,,,,,thiamine deficiency,mammillary body,thalamus,amnesia,confabulation,alcoholism,memory disorder,anterograde amnesia
Krebs cycle,,"A key metabolic pathway that provides energy to neurons. Although a general biology term, it is critical in neuroscience for understanding brain metabolism and mitochondrial function.",Citric Acid Cycle,citric acid cycle,tricarboxylic acid cycle,,TCA,,,,,,,mitochondria,cellular respiration,metabolism,ATP production,energy metabolism,oxidative phosphorylation,neuronal metabolism,
Kymograph,,"An old device used to record changes in physiological activity over time, such as muscle contractions or nerve responses. Historically significant in neuroscience research.",,,,,TCA,,,,,,,physiological recording,muscle contraction,nerve response,historical instrument,electrophysiology,neurophysiology,,
