Term,Term Two,Definition,Closest MeSH term,Synonym 1,Synonym 2,Synonym 3,Abbreviation,UK Spelling,US Spelling,Noun Form of Word,Verb Form of Word,Adjective Form of Word,Adverb Form of Word,Commonly Associated Term 1,Commonly Associated Term 2,Commonly Associated Term 3,Commonly Associated Term 4,Commonly Associated Term 5,Commonly Associated Term 6,Commonly Associated Term 7,Commonly Associated Term 8
Magnetic resonance imaging,,A non-invasive imaging technique that uses magnetic fields and radio waves to visualize detailed structures of the brain and other tissues.,Magnetic Resonance Imaging,,,,MRI,,,,,,,brain imaging,neuroimaging,magnetic field,radio waves,diagnostic imaging,non-invasive,fMRI,brain structure
Malleus,,One of the three auditory ossicles in the middle ear. It transmits sound vibrations from the eardrum to the incus.,Malleus,hammer,,,,,,,,,,auditory ossicle,middle ear,incus,stapes,eardrum,sound transmission,hearing,
Mammillary bodies,,Small round structures located in the hypothalamus involved in memory processing. Often damaged in Korsakoff syndrome.,Mammillary Bodies,,,,,,,,,mammillary,,hypothalamus,memory,Korsakoff syndrome,limbic system,fornix,memory processing,,
MAPK/ERK pathway,MAPKERK pathway,"A cellular signaling cascade involved in growth, differentiation, and survival. It plays roles in synaptic plasticity and neurodegeneration.",MAP Kinase Signaling System,mitogen-activated protein kinase pathway,extracellular signal-regulated kinase pathway,,MAPK/ERK,,,,,,,signal transduction,synaptic plasticity,cell growth,differentiation,neurodegeneration,protein kinase,cellular signaling,
Medial geniculate nucleus,,"A relay center in the thalamus for auditory information, sending signals from the inner ear to the auditory cortex.",Geniculate Bodies,,,,MGN,,,,,,,thalamus,auditory cortex,auditory pathway,hearing,sensory relay,inner ear,,
Medial longitudinal fasciculus,,"A bundle of nerve fibers in the brainstem involved in coordinating eye movements and head motion, especially during the vestibulo-ocular reflex.",Brain Stem,,,,MLF,,,,,,,brainstem,eye movement,vestibulo-ocular reflex,oculomotor control,gaze stabilization,nerve fibers,,
Medulla oblongata,,"The lower part of the brainstem, responsible for autonomic functions such as respiration, heart rate, and blood pressure.",Medulla Oblongata,medulla,,,,,,,,medullary,,brainstem,autonomic function,respiration,heart rate,blood pressure,cardiovascular control,respiratory control,
Melatonin,,A hormone produced by the pineal gland that regulates circadian rhythms and the sleep–wake cycle. Secretion is influenced by light exposure.,Melatonin,,,,,,,,,melatonergic,,pineal gland,circadian rhythm,sleep-wake cycle,sleep,hormone,light exposure,,
Memory,,"The mental capacity to encode, store, and retrieve information. Subtypes include working memory, short-term memory, and long-term memory.",Memory,,,,,,,,memorize,,,encoding,storage,retrieval,working memory,short-term memory,long-term memory,hippocampus,learning
Meninges,,"The three protective membranes—dura mater, arachnoid mater, and pia mater—that surround the brain and spinal cord.",Meninges,,,,,,,,,meningeal,,dura mater,arachnoid mater,pia mater,brain,spinal cord,protective membrane,meningitis,
Merkel cell,,"A mechanoreceptor found in the skin involved in the sense of touch, particularly pressure and texture. Communicates with sensory neurons.",Merkel Cells,,,,,,,,,,,mechanoreceptor,touch,skin,pressure,texture,sensory neuron,tactile perception,
Mesencephalon,,"Also known as the midbrain, this region of the brainstem is involved in motor control, vision, hearing, and alertness.",Mesencephalon,midbrain,,,,,,,,mesencephalic,,brainstem,motor control,vision,hearing,alertness,tectum,tegmentum,
Metabotropic receptor,,"A type of neurotransmitter receptor that activates a second messenger system via G-proteins, resulting in slower but longer-lasting cellular effects.","Receptors, Metabotropic Glutamate",G-protein coupled receptor,,,,,,,,metabotropic,,G-protein,second messenger,neurotransmitter,receptor,signal transduction,ionotropic receptor,,
Microelectrode,,A very fine electrode used to record the electrical activity of individual neurons.,Microelectrodes,,,,,,,,,,,electrode,electrophysiology,neuron,recording,action potential,single-unit recording,,
Microglia,,"The resident immune cells of the central nervous system, responsible for clearing debris, responding to injury, and regulating inflammation.",Microglia,,,,,,,,,microglial,,immune cells,central nervous system,inflammation,neuroinflammation,glia,phagocytosis,brain injury,
Middle ear,,"The air-filled space containing the auditory ossicles (malleus, incus, stapes) that transmit sound from the outer ear to the inner ear.","Ear, Middle",,,,,,,,,,,auditory ossicles,malleus,incus,stapes,sound transmission,hearing,eardrum,
Midbrain,,"A portion of the brainstem that includes structures such as the tectum and tegmentum. It plays roles in vision, hearing, motor control, and arousal.",Mesencephalon,mesencephalon,,,,,,,,,,brainstem,tectum,tegmentum,substantia nigra,motor control,vision,arousal,
Mismatch negativity,,An event-related potential detected via EEG that reflects automatic brain response to deviations in auditory stimuli. Used in studies of perception and schizophrenia.,"Evoked Potentials, Auditory",,,,MMN,,,,,,,event-related potential,EEG,auditory perception,schizophrenia,auditory processing,sensory memory,,
Mitochondria,,"Organelles responsible for energy production in cells. In neurons, they play critical roles in metabolism, calcium regulation, and apoptosis.",Mitochondria,,,,,,,,,mitochondrial,,energy production,ATP,metabolism,calcium regulation,apoptosis,oxidative phosphorylation,neuron,
Molecular layer,,"The outermost layer of the cerebellar cortex and cerebral cortex (in some regions), containing relatively few neurons and mostly dendrites, axons, and synapses.",Cerebellar Cortex,,,,,,,,,molecular,,cerebellar cortex,cerebral cortex,dendrites,axons,synapses,cortical layers,,
Monoamine oxidase,,"An enzyme that breaks down monoamine neurotransmitters such as dopamine, serotonin, and norepinephrine. Targeted by some antidepressants.",Monoamine Oxidase,,,,MAO,,,,,,,enzyme,monoamine,dopamine,serotonin,norepinephrine,MAO inhibitor,antidepressant,
Monosynaptic reflex,,"A reflex arc that involves only one synapse between a sensory neuron and a motor neuron, such as the knee-jerk (patellar) reflex.","Reflex, Monosynaptic",,,,,,,,,monosynaptic,,reflex arc,synapse,sensory neuron,motor neuron,knee-jerk reflex,patellar reflex,spinal reflex,
Mossy fiber,,"A type of excitatory input fiber found in the cerebellum (originating from spinal cord and brainstem nuclei, synapsing onto granule cells) and in the hippocampus (connecting dentate gyrus granule cells to CA3 pyramidal cells).","Mossy Fibers, Hippocampal",,,,,Mossy fibre,,,,,,cerebellum,granule cell,excitatory input,spinal cord,brainstem,hippocampus,,
Motor cortex,,"A region of the frontal lobe involved in planning, controlling, and executing voluntary movements.",Motor Cortex,,,,,,,,,,,frontal lobe,voluntary movement,primary motor cortex,motor control,premotor cortex,motor planning,corticospinal tract,
Motor neuron,,"A type of neuron that transmits signals from the central nervous system to muscles or glands, enabling movement and action.",Motor Neurons,motoneuron,,,,Motor neurone,,,,,,central nervous system,muscle,movement,neuromuscular junction,spinal cord,motor control,,
Motor unit,,A motor neuron and all the muscle fibers it innervates. Varies in size depending on the precision required by the muscle.,Neuromuscular Junction,,,,,,,,,,,motor neuron,muscle fiber,innervation,motor control,neuromuscular system,muscle contraction,,
MRI spectroscopy,,"A specialized MRI technique that measures concentrations of certain brain chemicals or metabolites, aiding in diagnosis of tumors and metabolic disorders.",Magnetic Resonance Spectroscopy,magnetic resonance spectroscopy,,,MRS,,,,,,,MRI,metabolites,brain chemistry,neuroimaging,brain tumor,metabolic disorder,,
Multisensory integration,,"The process by which the brain combines information from different sensory modalities (e.g., vision and sound) to create coherent perception.",Perception,,,,,,,,integrate,multisensory,,sensory modalities,perception,vision,audition,cross-modal processing,sensory processing,superior colliculus,
Myelin,,"A fatty substance that insulates axons, increasing the speed and efficiency of action potential conduction. Formed by oligodendrocytes in the CNS and Schwann cells in the PNS.",Myelin Sheath,,,,,,,,,myelinated,,axon,action potential,oligodendrocyte,Schwann cell,saltatory conduction,white matter,demyelination,
Myelination,,"The process of forming a myelin sheath around axons, critical for normal neural function. Occurs progressively during development.",Myelin Sheath,,,,,,,,myelinate,,,myelin,axon,oligodendrocyte,Schwann cell,neural development,white matter,brain development,
Myoclonus,,"Sudden, involuntary muscle jerks or twitches. Can be physiological (e.g., sleep starts) or associated with neurological disorders.",Myoclonus,,,,,,,,,myoclonic,,muscle jerk,involuntary movement,movement disorder,sleep starts,epilepsy,neurological disorder,,
Metabolism,,"Metabolism is the process by which the body processes food and other substances into a form that can be used to create energy. In the metabolic process, a substance can be broken down, absorbed, and used.",Metabolism,Metabolic processes,,,,,,,Metabolism,Metabolize,Metabolic,Metabolically,Cellular respiration,ATP production,Mitochondria,Glucose metabolism,Oxidative phosphorylation,Catabolism,Anabolism,Energy production
Multi-infarct Dementia,,Multi-infarct dementia is a common cause of memory loss in older people and is caused by multiple strokes which damage brain tissue.,,,Post-stroke dementia,,MID,,,Dementia,,Dementia-related,,Cerebrovascular disease,Stroke,Cognitive decline,Brain ischemia,White matter lesions,Lacunar infarcts,Vascular cognitive impairment,Cerebral infarction
Myelin Sheath,,"The myelin sheath is the insulating layer surrounding the axon, the message sender of the nerve cell.",Myelin,Myelin layer,,,,,,,,,Myelinated,,Axons,Oligodendrocytes,Schwann cells,Saltatory conduction,White matter,Node of Ranvier,Demyelination,Action potential
Myelitis,,Myelitis is an inflammation of the spinal cord. It can damage the myelin that covers the fibers of the nerve cell.,Myelitis,Spinal cord inflammation,,,,,,Myelitis,Inflame,Myelitic,,Spinal cord,Inflammation,Demyelination,Paraplegia,Transverse myelitis,Multiple sclerosis,Autoimmune disorder,Neuroinflammation
Myotonia,,Myotonia is an impairment in a person's ability to relax a muscle or group of muscles.,Myotonia,Muscle stiffness,Delayed relaxation,Prolonged contraction,,,,Myotonia,,Myotonic,Myotonically,Skeletal muscle,Muscle relaxation,Chloride channels,Myotonic dystrophy,Channelopathy,Muscle contraction,Neuromuscular junction,Ion channels
