Term,Term Two,Definition,Closest MeSH term,Synonym 1,Synonym 2,Synonym 3,Abbreviation,UK Spelling,US Spelling,Noun Form of Word,Verb Form of Word,Adjective Form of Word,Adverb Form of Word,Commonly Associated Term 1,Commonly Associated Term 2,Commonly Associated Term 3,Commonly Associated Term 4,Commonly Associated Term 5,Commonly Associated Term 6,Commonly Associated Term 7,Commonly Associated Term 8
Babinski sign,,"A reflex where the big toe extends upward and the other toes fan out when the sole of the foot is stimulated. Present in infants, but indicative of damage to the corticospinal tract in adults.","Reflex, Babinski",Babinski reflex,extensor plantar response,,,,,,,,,corticospinal tract,upper motor neuron lesion,pyramidal tract,neurological examination,plantar reflex,Clonus,Spasticity,Extensor Hallucis Longus
Barrel cortex,,"A region of the somatosensory cortex in rodents that contains clusters of neurons corresponding to individual whiskers, used as a model for studying sensory processing and plasticity.",Somatosensory Cortex,whisker barrel,,,,,,,,,,somatosensory cortex,whisker,sensory processing,cortical plasticity,rodent model,Somatotopic map,Thalamocortical afferents,Cortical column
Baroreceptor,,A sensory nerve ending in blood vessels that detects changes in blood pressure and relays information to the brainstem for autonomic regulation.,Pressoreceptors,pressure receptor,,,,,,baroreceptor,,,baroreceptive,blood pressure,autonomic regulation,carotid sinus,aortic arch,cardiovascular reflex,Nucleus of the solitary tract,Mechanoreceptor,Glossopharyngeal nerve
Basal ganglia,,"A group of subcortical nuclei involved in motor control, procedural learning, routine behaviors or habits, and cognition. Dysfunction is associated with Parkinson's disease, Huntington's disease, and other movement disorders.",Basal Ganglia,basal nuclei,,,BG,,,,,,,striatum,substantia nigra,motor control,Parkinson's disease,Huntington's disease,Globus pallidus,Subthalamic nucleus,Dopamine
Behavioral neuroscience,,"A subfield of neuroscience that explores how the brain affects behavior, often using techniques from biology, psychology, and physiology.",Neurosciences,biopsychology,psychobiology,biological psychology,,,,,,,behavioral,brain-behavior relationship,cognitive neuroscience,neuropsychology,animal behavior,experimental psychology,Neuroethology,Psychopharmacology,Physiological Psychology
Beta wave,,"A type of brain wave oscillation in the frequency range of approximately 13–30 Hz, typically associated with active concentration, alertness, and cognitive engagement.",Beta Rhythm,beta rhythm,beta oscillation,,,,,,,,,electroencephalography,alertness,concentration,brain waves,neural oscillations,Event-related desynchronization (ERD),Motor cortex,Gamma wave
Bilateral,,"In neuroscience, refers to structures or functions that involve both sides of the brain or body. For example, bilateral activation may occur in both hemispheres during a cognitive task.",,,,,,,,,,bilateral,bilaterally,hemisphere,cerebral cortex,symmetry,lateralization,,Corpus Callosum,Contralateral,Commissure
Binocular rivalry,,"A phenomenon that occurs when two different images are presented to each eye, and perception alternates between them. It is used to study visual awareness and consciousness.",Depth Perception,,,,,,,rivalry,,binocular,,visual perception,consciousness,visual awareness,dichoptic presentation,perceptual alternation,Interocular suppression,Stereopsis,Amblyopia
Bipolar cell,,"A type of neuron located in the retina that transmits signals from photoreceptors (rods and cones) to ganglion cells, playing a key role in visual processing.",Retinal Bipolar Cells,,,,,,,,,,,retina,photoreceptor,ganglion cell,visual processing,retinal circuitry,Amacrine cell,Horizontal cell,Glutamate
Bipolar disorder,,"A mood disorder characterized by alternating episodes of depression and mania, associated with dysregulation in neurotransmitter systems and structural brain changes.",Bipolar Disorder,manic-depressive illness,manic depression,manic-depressive disorder,BD,,,,,,bipolar,mania,depression,mood disorder,affective disorder,lithium,Hypomania,Amygdala,Cyclothymia
