Term,Term Two,Definition,Closest MeSH term,Synonym 1,Synonym 2,Synonym 3,Abbreviation,UK Spelling,US Spelling,Noun Form of Word,Verb Form of Word,Adjective Form of Word,Adverb Form of Word,Commonly Associated Term 1,Commonly Associated Term 2,Commonly Associated Term 3,Commonly Associated Term 4,Commonly Associated Term 5,Commonly Associated Term 6,Commonly Associated Term 7,Commonly Associated Term 8
Calcium channel,,"A type of ion channel located on the cell membrane that allows the selective entry of calcium ions (Ca²⁺) into the neuron, playing a crucial role in neurotransmitter release, gene expression, and synaptic plasticity.",Calcium Channels,,Ca2+ channel,,,,,calcium channel,,,,ion channel,neurotransmitter release,synaptic plasticity,depolarization,,Voltage-gated ion channel,Second messenger,Exocytosis
Capsaicin,,"A compound found in chili peppers that activates TRPV1 receptors on sensory neurons, leading to the sensation of heat or burning. It is used in research and in topical analgesics for chronic pain.",Capsaicin,,,,,,,capsaicin,,,,TRPV1 receptor,nociception,pain,sensory neuron,,Substance P,Neurogenic inflammation,Desensitization
Caudate nucleus,,"A C-shaped structure located in the basal ganglia, involved in motor control, learning, memory, and reward processing. It works closely with the putamen and globus pallidus.",Caudate Nucleus,,,,,,,caudate,,,caudate,basal ganglia,putamen,globus pallidus,motor control,,Striatum,Huntington's disease,Procedural learning
Central nervous system,,"Consists of the brain and spinal cord, responsible for processing and coordinating sensory data and motor commands.",Central Nervous System,,,,,,,,,central,centrally,brain,spinal cord,sensory processing,motor control,,Peripheral nervous system,Neurotransmitter,Glial cells
Cerebellum,,"A brain structure located at the back of the skull that plays a central role in motor coordination, balance, posture, and some cognitive functions such as attention and language.",Cerebellum,little brain,,,,,,,,cerebellar,,motor coordination,balance,posture,hindbrain,,Ataxia,Purkinje cells,Motor learning
Cerebral cortex,,"The outermost layer of the cerebrum, composed of gray matter. It is involved in higher-order brain functions such as sensory perception, language, decision-making, and voluntary motor control.",Cerebral Cortex,cortex,,,,,,,,cortical,cortically,gray matter,cerebrum,sensory perception,cognition,,Neocortex,Executive function,Cerebral lobes
Cerebral hemisphere,,"One of the two halves of the cerebrum, divided into left and right hemispheres. Each hemisphere specializes in different functions but communicates via the corpus callosum.",Cerebrum,,,,,,,hemisphere,,,hemispheric,,cerebrum,corpus callosum,lateralization,brain asymmetry,Cerebral cortex,Contralateral control,Cerebral lobes
Cerebrospinal fluid,,"A clear fluid found in the brain and spinal cord that cushions neural tissue, removes waste, and provides nutrients. It circulates through the ventricular system and subarachnoid space.",Cerebrospinal Fluid,,,,CSF,,,cerebrospinal fluid,,,,ventricular system,subarachnoid space,blood-brain barrier,choroid plexus,,Hydrocephalus,Intracranial pressure,Lumbar puncture
Chemoreceptor,,"A sensory receptor that responds to chemical stimuli, such as taste molecules or blood oxygen levels. Located in tissues including the tongue, nasal cavity, and blood vessels.",Chemoreceptor Cells,chemical receptor,,,,,,chemoreceptor,,,chemoreceptive,chemical sensing,taste,olfaction,carotid body,,Nociception,Osmoreceptor,G protein-coupled receptor
Cholinergic,,"Refers to cells or systems that use acetylcholine as a neurotransmitter. Cholinergic neurons are involved in memory, attention, and muscle activation.",Cholinergic Neurons,,,,,,,,,cholinergic,,acetylcholine,neurotransmitter,muscarinic receptor,nicotinic receptor,,Acetylcholinesterase,Basal forebrain,Neuromuscular junction
Choroid plexus,,A network of cells located in the ventricles of the brain that produces cerebrospinal fluid and contributes to the maintenance of the blood–CSF barrier.,Choroid Plexus,,,,,,,choroid plexus,,,,cerebrospinal fluid,ventricle,blood-CSF barrier,ependymal cell,,Tela choroidea,Arachnoid granulation,Hydrocephalus
Chromatolysis,,"A cellular response to neuronal injury, characterized by swelling of the cell body and dispersal of Nissl substance, indicating a disruption in protein synthesis.",Nerve Degeneration,,,,,,,chromatolysis,,,,neuronal injury,axotomy,Nissl substance,cell body,,Wallerian degeneration,Neuronal regeneration,Apoptosis
Cingulate cortex,,"A part of the limbic system located on the medial side of the cerebral hemispheres. It is involved in emotion formation, pain perception, decision-making, and cognitive control.",Gyrus Cinguli,cingulate gyrus,,,,,,,,cingulate,,limbic system,emotion,pain perception,cognitive control,,Decision-making,Error detection,Default Mode Network
Cognition,,"The set of mental processes involved in acquiring knowledge and understanding through thought, experience, and the senses. Includes attention, memory, language, and problem-solving.",Cognition,,,,,,,cognition,,cognitive,cognitively,attention,memory,language,problem-solving,,Executive functions,Perception,Metacognition
Cognitive neuroscience,,"A field that studies the biological processes underlying cognition, focusing on how brain structure and function give rise to mental activities.",Cognitive Neuroscience,,,,,,,,,cognitive,,brain imaging,neuropsychology,attention,memory,,Executive function,Prefrontal cortex,Language
Commissure,,A bundle of nerve fibers that connects corresponding areas between the two hemispheres of the brain. The largest is the corpus callosum.,Telencephalic Commissures,,,,,,,commissure,,,commissural,corpus callosum,interhemispheric,white matter,axon,,Anterior commissure,Hemispheric connection,Splenium of corpus callosum
Conditioned stimulus,,"In classical conditioning, a previously neutral stimulus that, after being paired with an unconditioned stimulus, elicits a learned response.","Conditioning, Classical",,,,CS,,,stimulus,condition,conditioned,,classical conditioning,Pavlovian conditioning,unconditioned stimulus,learning,,Conditioned response,Extinction,Acquisition
Conduction velocity,,The speed at which an action potential travels along a nerve fiber. It is influenced by factors such as axon diameter and myelination.,Neural Conduction,nerve conduction velocity,,,,,,,,,,action potential,myelination,axon diameter,nerve fiber,,Saltatory conduction,Nodes of Ranvier,Demyelination
Consciousness,,"A state of awareness of self and the environment. In neuroscience, it involves the coordinated activity of multiple brain regions, particularly the thalamocortical system.",Consciousness,awareness,,,,,,,,conscious,consciously,thalamocortical system,arousal,attention,wakefulness,,Qualia,Metacognition,Neural Correlates of Consciousness
Corpus callosum,,"The largest white matter structure in the brain, consisting of a thick band of axons that connects the left and right cerebral hemispheres.",Corpus Callosum,,,,,,,corpus callosum,,,callosal,white matter,interhemispheric,commissure,axon,,Split-brain,Splenium,Disconnection syndrome
Cortical column,,"A vertically organized group of neurons in the cerebral cortex that processes the same type of information, such as orientation or location in space. It is a basic functional unit of the cortex.",Cerebral Cortex,column,,,,,,column,,,columnar,cerebral cortex,functional architecture,orientation selectivity,sensory processing,,Laminar organization,Minicolumn,Canonical microcircuit
Cortical plasticity,,"The ability of the cerebral cortex to adapt and reorganize in response to experience, learning, or injury.",Neuronal Plasticity,brain plasticity,neural plasticity,,,,,plasticity,,plastic,,cerebral cortex,learning,reorganization,experience-dependent,,Synaptic plasticity,Long-term potentiation,Cortical remapping
Corticospinal tract,,"A major descending pathway from the motor cortex to the spinal cord that mediates voluntary motor control, especially fine movements of the limbs.",Pyramidal Tracts,pyramidal tract,,,,,,tract,,,corticospinal,motor cortex,spinal cord,voluntary movement,descending pathway,,Upper motor neuron,Pyramidal tracts,Internal capsule
