Term,Term Two,Definition,Closest MeSH term,Synonym 1,Synonym 2,Synonym 3,Abbreviation,UK Spelling,US Spelling,Noun Form of Word,Verb Form of Word,Adjective Form of Word,Adverb Form of Word,Commonly Associated Term 1,Commonly Associated Term 2,Commonly Associated Term 3,Commonly Associated Term 4,Commonly Associated Term 5,Commonly Associated Term 6,Commonly Associated Term 7,Commonly Associated Term 8
Obex,,The point in the brainstem where the fourth ventricle narrows to become the central canal of the spinal cord. Used as an anatomical landmark in neuroanatomy.,Fourth Ventricle,,,,,,,,,,,brainstem,fourth ventricle,central canal,spinal cord,neuroanatomy,anatomical landmark,,
Occipital lobe,,"The rearmost lobe of the cerebral cortex, primarily responsible for visual processing, including interpretation of color, motion, and spatial orientation.",Occipital Lobe,,,,,,,,,occipital,,cerebral cortex,visual processing,visual cortex,color perception,motion detection,spatial orientation,,
Ocular dominance,,A preference of neurons in the visual cortex for input from one eye over the other. Studied extensively in visual development and plasticity.,"Dominance, Ocular",eye dominance,,,,,,,,,,visual cortex,visual development,neural plasticity,binocular vision,critical period,ocular dominance columns,,
Oculomotor nerve,,"A cranial nerve that controls most of the eye's movements, including those of the eyelid and pupil constriction. Damage may result in diplopia or ptosis.",Oculomotor Nerve,cranial nerve III,third cranial nerve,,CN III,,,,,oculomotor,,eye movement,pupil constriction,eyelid movement,diplopia,ptosis,extraocular muscles,midbrain,
Olfaction,,"The sense of smell, mediated by receptors in the olfactory epithelium and processed in the olfactory bulb and related brain regions.",Olfactory Perception,smell,,,,,,,,olfactory,,olfactory epithelium,olfactory bulb,olfactory receptors,odor,smell perception,chemoreception,,
Olfactory bulb,,The first brain structure to process olfactory (smell) information. Receives input from sensory neurons in the nasal cavity and sends projections to the olfactory cortex and limbic system.,Olfactory Bulb,,,,OB,,,,,,,olfaction,olfactory cortex,limbic system,sensory processing,glomeruli,mitral cells,olfactory receptor neurons,
Olfactory cortex,,A region of the brain involved in odor identification and perception. Includes the piriform cortex and parts of the amygdala and entorhinal cortex.,Olfactory Cortex,primary olfactory cortex,,,,,,,,,,piriform cortex,amygdala,entorhinal cortex,odor perception,smell processing,olfactory bulb,,
Olfactory nerve,,"The first cranial nerve, responsible for transmitting smell information from the nose to the brain.",Olfactory Nerve,cranial nerve I,first cranial nerve,,CN I,,,,,olfactory,,smell,olfactory bulb,olfactory epithelium,olfactory receptors,chemoreception,,,
Oligodendrocyte,,"A type of glial cell in the central nervous system that forms the myelin sheath around axons, enabling rapid signal conduction.",Oligodendroglia,,,,,,,,,,,myelin sheath,glial cell,central nervous system,myelination,axon,white matter,saltatory conduction,
Ontogeny,,"The development of an individual organism, particularly the growth and differentiation of the nervous system from embryo to adult.",,ontogenesis,,,,,,,,ontogenetic,ontogenetically,development,nervous system development,differentiation,embryology,maturation,phylogeny,,
Operculum (brain),Operculum brain,"A part of the cerebral cortex that covers the insula. It includes portions of the frontal, temporal, and parietal lobes.",Cerebral Cortex,cortical operculum,,,,,,,,opercular,,insula,frontal lobe,temporal lobe,parietal lobe,cerebral cortex,,,
Opsin,,A light-sensitive protein found in photoreceptor cells of the retina. Plays a key role in the molecular detection of light in vision.,Opsins,,,,,,,,,,,photoreceptor,retina,vision,rhodopsin,phototransduction,G-protein-coupled receptor,,
Optic chiasm,,"The point at which the optic nerves from both eyes partially cross, allowing visual information from each eye to be processed in both hemispheres of the brain.",Optic Chiasm,optic chiasma,,,,,,,,,,optic nerve,visual pathway,visual field,lateral geniculate nucleus,binocular vision,decussation,,
Optic nerve,,A cranial nerve that transmits visual information from the retina to the lateral geniculate nucleus of the thalamus.,Optic Nerve,cranial nerve II,second cranial nerve,,CN II,,,,,optic,,retina,lateral geniculate nucleus,thalamus,visual pathway,optic chiasm,vision,,
Optic tract,,The continuation of the optic nerve fibers after the optic chiasm; carries visual information to the thalamus and midbrain.,Optic Tract,,,,,,,,,,,optic nerve,optic chiasm,thalamus,midbrain,visual pathway,lateral geniculate nucleus,,
Optogenetics,,A technique that uses light-sensitive proteins to control the activity of genetically targeted neurons. Widely used in neuroscience research to study circuit function.,Optogenetics,,,,,,,,,optogenetic,optogenetically,channelrhodopsin,neural circuits,light-sensitive proteins,neuroscience research,genetic targeting,neuronal activity,opsins,
Orbitofrontal cortex,,"A prefrontal brain region involved in decision-making, reward processing, and emotional regulation. Dysfunction is linked to addiction and impulsivity.",Prefrontal Cortex,,,,OFC,,,,,orbitofrontal,,prefrontal cortex,decision-making,reward processing,emotional regulation,addiction,impulsivity,,
Organ of Corti,,The sensory organ within the cochlea that contains hair cells and is responsible for converting sound vibrations into neural signals.,Organ of Corti,spiral organ,,,,,,,,,,cochlea,hair cells,auditory system,hearing,mechanotransduction,basilar membrane,,
Orientation column,,A vertical column of neurons in the visual cortex that respond to lines of the same orientation. Part of the brain's system for processing visual features.,,orientation-selective column,,,,,,,,,,visual cortex,orientation selectivity,cortical column,visual processing,feature detection,primary visual cortex,,
Oscillation,,"Repetitive rhythmic activity in neurons or neural networks. Neural oscillations, such as alpha waves and gamma waves, are observed in brain activity recordings.",,neural oscillation,brain rhythm,,,,,,oscillate,oscillatory,,neural networks,alpha waves,gamma waves,brain waves,EEG,rhythmic activity,synchronization,
Otolith organs,,Structures in the vestibular system (the utricle and saccule) that detect linear acceleration and head position relative to gravity.,Otolithic Membrane,,,,,,,,,otolithic,,vestibular system,utricle,saccule,linear acceleration,gravity detection,balance,inner ear,
