Term,Term Two,Definition,Closest MeSH term,Synonym 1,Synonym 2,Synonym 3,Abbreviation,UK Spelling,US Spelling,Noun Form of Word,Verb Form of Word,Adjective Form of Word,Adverb Form of Word,Commonly Associated Term 1,Commonly Associated Term 2,Commonly Associated Term 3,Commonly Associated Term 4,Commonly Associated Term 5,Commonly Associated Term 6,Commonly Associated Term 7,Commonly Associated Term 8
Ultradian rhythm,,"A recurrent biological cycle that occurs more than once in 24 hours, such as stages of sleep. In neuroscience, it refers to shorter rhythms regulating hormonal release, arousal, or sleep cycles.",Circadian Rhythm,,,,,,,rhythm,,,,sleep,biological rhythm,circadian rhythm,hormonal release,arousal,REM cycle,NREM cycle,sleep-wake cycle
Unconditioned response,,"In classical conditioning, an automatic, reflexive response to an unconditioned stimulus (e.g., salivation to food). Studied in behavioral neuroscience.","Conditioning, Classical",,,,,,,response,,,,classical conditioning,unconditioned stimulus,reflex,behavioral neuroscience,Pavlovian conditioning,learning,automatic response,innate response
Unconsciousness,,"A state in which an individual is not aware of themselves or their surroundings. Can result from head injury, anesthesia, or metabolic dysfunction.",Unconsciousness,,,,,,,unconsciousness,,unconscious,,consciousness,awareness,coma,head injury,anesthesia,metabolic dysfunction,brain injury,altered consciousness
Uncus,,"A structure on the medial surface of the temporal lobe, part of the parahippocampal gyrus. It is involved in olfaction and is adjacent to the amygdala.",Temporal Lobe,,,,,,,,,uncal,,temporal lobe,parahippocampal gyrus,olfaction,amygdala,limbic system,olfactory processing,medial temporal lobe,
Undershoot,,The hyperpolarizing phase following an action potential where membrane potential temporarily becomes more negative than resting potential.,Action Potentials,afterhyperpolarization,,,,,,,,,,action potential,membrane potential,hyperpolarization,resting potential,repolarization,potassium channels,refractory period,
Unilateral neglect,,A neuropsychological condition following damage (typically to the right parietal lobe) in which patients ignore stimuli on one side of space.,Perceptual Disorders,hemispatial neglect,spatial neglect,contralateral neglect,,,,,,unilateral,,parietal lobe,spatial attention,hemispatial neglect,right hemisphere,visual neglect,attention deficit,neuropsychological disorder,
Unipolar depression,,"A mood disorder characterized by persistent low mood, lack of energy, and anhedonia, without manic episodes. Associated with altered activity in the prefrontal cortex and limbic structures.","Depressive Disorder, Major",major depressive disorder,clinical depression,,,,,depression,,,,mood disorder,prefrontal cortex,limbic system,anhedonia,neurotransmitter,serotonin,depression,major depression
Unipolar neuron,,A type of neuron with a single process extending from the cell body. Common in invertebrates and found in human sensory neurons.,Neurons,,,,,,,neuron,,,,sensory neuron,cell body,axon,invertebrate,peripheral nervous system,dorsal root ganglion,neuronal morphology,
Upper motor neuron,,"A neuron originating in the cerebral cortex or brainstem that transmits motor signals to lower motor neurons. Damage leads to spasticity, hyperreflexia, and weakness.",Motor Neurons,,,,UMN,,,neuron,,,,motor cortex,lower motor neuron,corticospinal tract,spasticity,hyperreflexia,motor control,pyramidal tract,cerebral cortex
Upregulation,,"An increase in the number or sensitivity of receptors on a neuron, often in response to reduced stimulation or drug exposure. A mechanism of plasticity.",Up-Regulation,,,,,,,upregulation,upregulate,,,receptor,synaptic plasticity,downregulation,neuroplasticity,drug tolerance,receptor sensitivity,homeostasis,adaptation
Utricle,,A structure within the vestibular system that detects linear acceleration and head position relative to gravity. Works in tandem with the saccule.,Saccule and Utricle,,,,,,,,,,,vestibular system,saccule,linear acceleration,gravity,balance,otolith organ,inner ear,macula
Uveitis,,"Inflammation of the uveal tract (including the iris, ciliary body, and choroid), which can cause visual disturbances and is sometimes associated with autoimmune neurological disorders.",Uveitis,,,,,,,,,uveal,,iris,ciliary body,choroid,inflammation,autoimmune disorder,visual disturbance,optic nerve,neuroimmunology
